Feature	Gain	Cover	Frequency	pos
ctrx_quarter	0.295312130045958	0.0625763244144188	0.0367705835331735	1
cdescubierto_preacordado_lag2/ccomisiones_mantenimiento_delta2/cpayroll_trx	0.0368518831355559	0.0404514010081502	0.0215827338129496	2
mprestamos_personales	0.0296313433397487	0.0238636334256336	0.0151878497202238	3
mtarjeta_visa_consumo	0.0286277952437685	0.01687733713221	0.0119904076738609	4
mcaja_ahorro/cliente_antiguedad_lag1/cliente_antiguedad_lag2	0.0190934443689981	0.004740839562095	0.00159872102318145	5
mpayroll_sobre_edad	0.0165099490946805	0.0129931408212916	0.00719424460431655	6
ccomisiones_mantenimiento_delta2/ctrx_quarter_lag2/ctrx_quarter_lag2	0.0159257242987134	0.00876077159943224	0.00399680255795364	7
mcaja_ahorro_lag2	0.0144930983525259	0.00329945541964747	0.00399680255795364	8
mpasivos_margen/Master_fechaalta_lag2/Master_fechaalta_lag1/mcaja_ahorro_lag2	0.0144552995124212	0.00371097166958391	0.00479616306954436	9
mpayroll_lag1/mpayroll_sobre_edad	0.0144256858309571	0.014222518686285	0.00479616306954436	10
mtarjeta_visa_consumo_-_mactivos_margen_delta2	0.0124978967267471	0.00620807812862231	0.00319744204636291	11
mpasivos_margen_lag2	0.0110866045032788	0.00357480503609709	0.00479616306954436	12
mrentabilidad_delta1/mcaja_ahorro_delta1/mcuentas_saldo/mrentabilidad_lag2	0.0100347152833659	0.00601546266922798	0.00399680255795364	13
mcuentas_saldo/mpasivos_margen	0.00912796438278377	0.0163486141597786	0.0111910471622702	14
mrentabilidad_annual_delta2/mprestamos_personales_lag2/mactivos_margen_lag1	0.00763726226422596	0.00101866430874319	0.00159872102318145	15
chomebanking_transacciones_delta2	0.00746265517369389	0.0127587273763017	0.008792965627498	16
chomebanking_transacciones_lag1/Visa_mpagominimo/chomebanking_transacciones_delta1/kmes_delta1	0.007187892944062	0.00747623762973535	0.00959232613908873	17
ccomisiones_mantenimiento_delta2/ctrx_quarter_lag2	0.00688195834074849	0.00214203903500948	0.000799360511590727	18
canarito92	0.00661529872050168	0.00726638588762116	0.00959232613908873	19
mpasivos_margen	0.00618158936834895	0.00133495009665246	0.00319744204636291	20
mtarjeta_visa_consumo/ctarjeta_visa_transacciones	0.00592492637033131	0.00159004708090625	0.00319744204636291	21
mrentabilidad_annual_delta1/ccomisiones_mantenimiento_lag2/cliente_antiguedad/mactivos_margen_lag1/mcuentas_saldo_lag1/mactivos_margen_lag1	0.00535699659134709	0.00337529506361481	0.00479616306954436	22
ccallcenter_transacciones_delta2/Visa_mpagominimo	0.00473757022246605	0.0038971235229583	0.00319744204636291	23
mcaja_ahorro_delta1/mprestamos_personales_lag2/mactivos_margen_lag1/cproductos_lag1/Master_fechaalta_lag1/mcaja_ahorro_lag2	0.00465490245921989	0.000228380746038025	0.000799360511590727	24
ctarjeta_visa_transacciones	0.00438658593346034	0.00258544240797764	0.00319744204636291	25
mrentabilidad_lag1/mcuenta_corriente_lag2/Master_fechaalta	0.00406064018428573	0.00686262596490865	0.00479616306954436	26
chomebanking_transacciones_delta1/mrentabilidad_lag1/Visa_fechaalta_lag1/Visa_fechaalta_delta2	0.00401412658782318	0.00217651160044918	0.00399680255795364	27
ccomisiones_mantenimiento_delta1/mcomisiones_lag2/ctarjeta_visa_transacciones_lag2/mpasivos_margen_lag2	0.00395744671926587	0.00602537353179189	0.00319744204636291	28
ctarjeta_visa_transacciones_lag2/mpasivos_margen_lag2	0.00383671706810698	0.00364633560938447	0.00319744204636291	29
chomebanking_transacciones	0.00380287162747073	0.00539495649131334	0.00479616306954436	30
cproductos_delta1	0.00378344883098377	0.00901500676955004	0.00319744204636291	31
