Feature	Gain	Cover	Frequency	pos
mcomisiones/mrentabilidad_annual_lag1/mrentabilidad_annual_lag1/mcaja_ahorro_delta1/mprestamos_personales_lag1/mcaja_ahorro_delta2/mcaja_ahorro_lag1/mcuenta_corriente_lag1/mcuentas_saldo_lag2/mpasivos_margen_delta1/cliente_edad_lag1/mprestamos_personales_lag1/mcomisiones_lag2	0.112709091780415	0.0125306238352596	0.00688298918387414	1
mpayroll/Visa_fechaalta_delta2/mtarjeta_master_consumo_lag2	0.10825476668352	0.055241892371949	0.0304818092428712	2
mpayroll_delta1/mtarjeta_visa_consumo/mcaja_ahorro_delta1/mtarjeta_visa_consumo/Visa_fechaalta_lag2/cdescubierto_preacordado_lag2	0.0832160437143662	0.0132301866228879	0.00589970501474926	3
ctarjeta_visa_transacciones_delta1_+_ctarjeta_visa_transacciones_lag1	0.0597692971333228	0.0398658816847909	0.0412979351032448	4
mtarjeta_master_consumo_delta2_-_mpayroll_lag2	0.0397541903805812	0.0496154991383364	0.0245821042281219	5
mcaja_ahorro_lag1/mrentabilidad_annual_lag2	0.0302928006914169	0.0183972941808103	0.0196656833824975	6
mactivos_margen_delta1_+_mpayroll_lag1	0.0276161481513673	0.0170062161643266	0.0127826941986234	7
mpayroll_sobre_edad_lag2_-_mpasivos_margen_delta2	0.0273809870328342	0.0264034655087379	0.0294985250737463	8
internet_delta2_-_mcuenta_corriente/ctrx_quarter_lag2/cdescubierto_preacordado_lag2	0.0233146222558804	0.0167371977710562	0.00884955752212389	9
mcaja_ahorro_delta2/chomebanking_transacciones_lag1/cproductos_lag2/Visa_mpagominimo/Master_fechaalta_delta2/mtarjeta_visa_consumo_delta1	0.0197593483911871	0.0422922206548644	0.0235988200589971	10
ctrx_quarter_delta2/mpayroll_lag2_-_mcaja_ahorro_delta2/mtarjeta_master_consumo_lag1/mpasivos_margen_delta1/mpayroll_lag1	0.0178895125809167	0.00608280478116963	0.00196656833824975	11
mcuentas_saldo_lag2/chomebanking_transacciones_lag2/mtarjeta_visa_consumo_delta2_-_cliente_edad_delta2	0.0171017949362723	0.0309905740093743	0.0255653883972468	12
mrentabilidad_-_chomebanking_transacciones_delta2	0.0164131615380156	0.0196751315488447	0.0147492625368732	13
mcomisiones_lag2/mprestamos_personales_lag1/mcomisiones_lag2	0.0164091999053589	0.0246174822867483	0.0167158308751229	14
Visa_mpagominimo_delta2/mtarjeta_master_consumo_delta1_-_mprestamos_personales_lag1/mcaja_ahorro_delta2	0.0134761200254336	0.00978468181677088	0.00786627335299902	15
mcomisiones_lag1_-_mtarjeta_visa_consumo_lag2	0.0128990532120265	0.0164635807727726	0.0186823992133727	16
