Feature	Gain	Cover	Frequency	pos
ctrx_quarter_-_ccomisiones_mantenimiento	0.143980843671764	0.0184070345952445	0.0114777618364419	1
cpayroll_trx/ccomisiones_mantenimiento	0.108240714928599	0.106607408697458	0.0416068866571019	2
ctrx_quarter/ccomisiones_mantenimiento	0.103070987324299	0.0357364739610458	0.0186513629842181	3
mcaja_ahorro/kmes	0.0493316584942637	0.0198321061418742	0.0129124820659971	4
ctrx_quarter_-_cpayroll_trx	0.0443356736790458	0.00529336211386171	0.00286944045911047	5
mprestamos_personales_-_mtarjeta_visa_consumo	0.0404134189712342	0.049143198758128	0.0286944045911047	6
kmes/ctrx_quarter	0.0315973312294777	0.0121382269162691	0.00717360114777618	7
kmes_-_ctrx_quarter	0.0297647476079467	0.00645803574568418	0.00573888091822095	8
ccomisiones_mantenimiento_delta1_-_Visa_status_lag2	0.0278413592535052	0.0271600886190203	0.0200860832137733	9
mpasivos_margen_-_mactivos_margen_lag2	0.024080216733384	0.0165993204535445	0.0143472022955524	10
mpasivos_margen_-_cpayroll_trx_lag2	0.0191460792883233	0.00496263164328667	0.00860832137733142	11
mpasivos_margen_lag1_-_mcaja_ahorro_lag2	0.0187009898422245	0.0138396049319867	0.0157819225251076	12
Master_mpagominimo_lag1/cpayroll_trx	0.017151520457065	0.0158876219725603	0.0100430416068867	13
cproductos_-_ccomisiones_mantenimiento	0.0167219981116238	0.00653255476310488	0.00860832137733142	14
mcaja_ahorro_lag2/kmes	0.0160629815168352	0.0103974961610147	0.00860832137733142	15
Visa_mpagominimo_-_internet_lag1	0.0159126261635594	0.0577120484691784	0.0530846484935438	16
mtarjeta_visa_consumo_-_Master_fechaalta_delta2	0.0147452483935032	0.0188223315912071	0.0143472022955524	17
mrentabilidad_annual_delta1_-_Visa_mpagominimo_lag2	0.011219229344885	0.0118786662937925	0.00717360114777618	18
mpayroll/ctarjeta_visa_transacciones_delta2	0.0110480765492826	0.03687435423829	0.0143472022955524	19
mrentabilidad_annual_delta2_-_Visa_mpagominimo_lag2	0.0107031212055077	0.0130475263872678	0.0129124820659971	20
cliente_antiguedad/ctrx_quarter	0.0089212230389522	0.0074167354641865	0.0100430416068867	21
mpayroll_sobre_edad_lag1_-_mcomisiones_lag2	0.0087224161170852	0.00550268519650414	0.00717360114777618	22
mrentabilidad_annual_lag2/kmes	0.00728579601767521	0.00751804783618543	0.0100430416068867	23
mrentabilidad_annual_-_cliente_edad_lag1	0.00727392400651471	0.00531931817610937	0.00717360114777618	24
Master_mpagominimo/kmes	0.0068104502862154	0.018869219961719	0.0100430416068867	25
Visa_mpagominimo_delta2/mcuenta_corriente_lag1	0.00650727887033523	0.0145713984289047	0.0186513629842181	26
cliente_antiguedad_lag1_-_mprestamos_personales_delta2	0.0064188359629446	0.0137081500360873	0.00860832137733142	27
mcomisiones_delta1/Visa_fechaalta_delta1	0.00638765074525526	0.00180352768004716	0.00430416068866571	28
mprestamos_personales_lag1_-_mactivos_margen_delta1	0.0058154407524618	0.0036681777002259	0.00717360114777618	29
mrentabilidad_annual_lag2_-_Master_fechaalta_delta2	0.00559083290074095	0.0266920422062318	0.0358680057388809	30
ctrx_quarter_delta2/cproductos	0.00530053514812264	0.00387750078286833	0.00717360114777618	31
mrentabilidad_annual_lag2_-_mactivos_margen_delta2	0.0052429174432793	0.00453142609304327	0.00573888091822095	32
mcomisiones_lag2/kmes	0.00519317508781827	0.00177840891013007	0.00143472022955524	33
mpasivos_margen_lag1/cliente_antiguedad	0.00504764654711453	0.002576348501163	0.00717360114777618	34
mrentabilidad_annual_delta2_-_mpasivos_margen	0.00479733592517507	0.00504468629168251	0.0100430416068867	35
mpasivos_margen_lag1/cliente_edad	0.00469742318950983	0.000921021563626682	0.00286944045911047	36
ctrx_quarter/kmes	0.0046139943972056	0.00817532231568265	0.00717360114777618	37
cdescubierto_preacordado_delta1_-_Master_fechaalta_lag2	0.0046113856551874	0.00615158675269566	0.0100430416068867	38
canarito17	0.00450340082534839	0.0154890708232091	0.0172166427546628	39
mtarjeta_visa_consumo_delta2_-_ccomisiones_mantenimiento_delta1	0.00446072973400342	0.0228162160080246	0.024390243902439	40
mrentabilidad_annual_lag2_-_ccallcenter_transacciones_lag2	0.00442064141297081	0.00155987561185137	0.00430416068866571	41
mrentabilidad_lag1/mcaja_ahorro_lag1	0.00425954855728863	0.00735979958570776	0.00717360114777618	42
kmes_lag1_-_ccomisiones_mantenimiento_delta2	0.00420557320647849	0.00750297657423518	0.00573888091822095	43
Visa_mpagominimo/cliente_antiguedad	0.0041293953943459	0.00841897438387844	0.0143472022955524	44
canarito39	0.00405844338292065	0.00831515013488779	0.0129124820659971	45
mtarjeta_visa_consumo_delta1/ccomisiones_mantenimiento	0.00398369987706734	0.00493500099637787	0.00717360114777618	46
cproductos_lag2_-_cliente_edad_lag1	0.00388933042929914	0.032669472154169	0.024390243902439	47
mrentabilidad_delta1/Visa_mpagominimo_lag2	0.00376422481403609	0.00439159827383813	0.0129124820659971	48
ccomisiones_mantenimiento_lag1/kmes	0.00362948276571594	0.00289451958677949	0.00573888091822095	49
mpasivos_margen/ccomisiones_mantenimiento	0.00323320550538399	0.00335503036859283	0.00717360114777618	50
cliente_edad_-_cproductos	0.00305761223359926	0.00645133740703962	0.00573888091822095	51
Visa_mpagominimo_lag2/kmes	0.00288560441688781	0.00401900318673461	0.00573888091822095	52
