Feature	Gain	Cover	Frequency	pos
mtarjeta_visa_consumo/mrentabilidad_lag1/cdescubierto_preacordado_lag1/mrentabilidad_annual_lag1/mcuentas_saldo_lag2/mpayroll_sobre_edad_delta1/mcaja_ahorro/mcomisiones_delta1/mcomisiones_lag2/mcomisiones_delta1_-_mcuentas_saldo/ctarjeta_visa_transacciones_lag1	0.179433064521278	0.0183827042848835	0.00601684717208183	1
cdescubierto_preacordado_delta1_+_mrentabilidad_annual/cliente_edad_lag1/mcaja_ahorro/mpayroll_sobre_edad_lag2/ccomisiones_mantenimiento_lag2/mactivos_margen/mrentabilidad_annual_lag1/mcaja_ahorro_delta1	0.100159302848533	0.0390378193593836	0.0144404332129964	2
mpasivos_margen_lag2_-_mactivos_margen_delta1/mcuentas_saldo_lag2	0.0819791477782862	0.0257740121941563	0.0240673886883273	3
Master_mpagominimo_lag2/mpayroll_sobre_edad/Visa_fechaalta_lag1_-_cpayroll_trx_delta2/mrentabilidad_lag1	0.078947715114151	0.0459267258444576	0.0204572803850782	4
mprestamos_personales_delta2/mprestamos_personales/mprestamos_personales/mprestamos_personales_lag1	0.0475158292152951	0.068413285241139	0.0288808664259928	5
mcaja_ahorro_lag2_-_mrentabilidad_lag1/mpasivos_margen_lag1/ctrx_quarter_lag1	0.037674826131846	0.0170365961211334	0.0168471720818291	6
mrentabilidad/cliente_antiguedad_lag2/mpayroll_sobre_edad	0.0194031691976464	0.0276307131096737	0.0168471720818291	7
mactivos_margen_lag2_-_mpayroll_delta1	0.018481505434617	0.00515302765119143	0.0072202166064982	8
cliente_antiguedad_lag1/Visa_mpagominimo_delta2/mcomisiones_lag1_-_mrentabilidad_annual_lag1	0.0180295288684378	0.00760086937289927	0.00962695547533093	9
kmes_lag1_-_mcuenta_corriente/ctrx_quarter_lag2	0.0122292746492098	0.000582266867991295	0.00120336943441637	10
cdescubierto_preacordado_delta1_-_mcuentas_saldo_delta1/mprestamos_personales_lag1	0.0118191482673283	0.00169833524919384	0.0036101083032491	11
mactivos_margen_lag2_-_mpayroll_delta1/cliente_edad_lag2	0.0116651333252984	0.00674214519947248	0.00842358604091456	12
mtarjeta_visa_consumo_delta2_-_kmes_lag2/Visa_fechaalta_lag1/mrentabilidad_annual_delta2	0.0102256541814576	0.0224565245289304	0.0288808664259928	13
mrentabilidad_annual_delta1/mrentabilidad_annual/mcaja_ahorro_delta1/chomebanking_transacciones_delta1_-_cliente_edad_lag1	0.0100385413377143	0.0144890932473426	0.0168471720818291	14
mtarjeta_visa_consumo_delta1/chomebanking_transacciones/mrentabilidad_annual_lag1/mcaja_ahorro_delta1/Visa_fechaalta/mactivos_margen/mcaja_ahorro_delta1_+_mrentabilidad_lag1/cdescubierto_preacordado_lag1/cproductos_lag1	0.00952421800516908	0.00528545411354818	0.0072202166064982	15
mrentabilidad_annual_-_mcuenta_corriente_delta1	0.00890081755768374	0.00983505396719646	0.00962695547533093	16
mrentabilidad_annual_delta1/mtarjeta_visa_consumo_lag1/cliente_antiguedad_lag2/mtarjeta_visa_consumo_lag2/Visa_fechaalta/kmes_delta1_+_mcaja_ahorro_delta2/mcomisiones/mcomisiones_lag1/mpayroll_lag1/mcaja_ahorro_lag1	0.00885026492640917	0.0365988515758749	0.0300842358604091	17
Visa_mpagominimo_lag2/mrentabilidad_annual_delta1/mrentabilidad_annual/ctrx_quarter_lag2_-_mcaja_ahorro_lag2	0.00836006617874846	0.0234770274218343	0.00962695547533093	18
cproductos_lag1/mcuentas_saldo_lag2/mpasivos_margen_delta1_+_Visa_fechaalta_lag2	0.00830115574407387	0.0135313905324636	0.0144404332129964	19
cliente_edad_lag1_+_chomebanking_transacciones_delta1/mrentabilidad_annual_delta1/mcomisiones_lag2/mcomisiones_delta1/mrentabilidad_annual/Visa_fechaalta_delta1	0.00795335140116307	0.0274586952307361	0.0252707581227437	20
mtarjeta_visa_consumo_-_mpasivos_margen_delta2/mactivos_margen_lag1/ccomisiones_mantenimiento_lag2	0.00793968330598188	0.00779063512823523	0.01323706377858	21
cliente_antiguedad_lag1/Visa_mpagominimo_delta2/mcomisiones_lag1_-_mrentabilidad_annual	0.00768153695654485	0.0040942985629681	0.00601684717208183	22
mcaja_ahorro_delta2/mcaja_ahorro_delta2/kmes_lag2/ctarjeta_visa_transacciones_lag2_-_mpasivos_margen_lag1/mtarjeta_visa_consumo_lag1	0.00728380515839839	0.0137027258007705	0.00962695547533093	23
