Feature	Gain	Cover	Frequency	pos
ctarjeta_visa_transacciones_delta1_+_ctrx_quarter_lag1	0.206579138825076	0.0284189684759679	0.0137781000725163	1
mactivos_margen_delta1_-_mpayroll	0.0591329868511407	0.0430166856185098	0.0275562001450326	2
mcaja_ahorro_lag2_-_cproductos_lag1	0.0523196431884297	0.0122919095621245	0.00725163161711385	3
mtarjeta_visa_consumo_-_cdescubierto_preacordado_lag2	0.0490260402804904	0.0244662697175136	0.0246555474981871	4
cliente_antiguedad_lag1_-_mprestamos_personales	0.0236989946885223	0.0111935822821857	0.0108774474256708	5
mtarjeta_visa_consumo_-_ccomisiones_mantenimiento_lag2	0.0230703212259013	0.0211756859847522	0.0137781000725163	6
Master_mpagominimo_lag2/mpayroll_sobre_edad/Visa_fechaalta_lag1	0.0166745626533685	0.00958187596058656	0.00725163161711385	7
Master_mpagominimo_+_ctrx_quarter_lag1	0.0148071546639772	0.0112751471766552	0.00435097897026831	8
mactivos_margen_lag2/cliente_antiguedad_lag1	0.0121877408267142	0.00608098274502654	0.00652646845540247	9
mprestamos_personales_lag1/mcomisiones_lag2_+_mpayroll_sobre_edad_lag2/ccomisiones_mantenimiento_lag2	0.0118832236981338	0.0083252168266778	0.00797679477882524	10
mactivos_margen_lag1/Master_mpagominimo_delta2/mrentabilidad_annual_delta1_+_mtarjeta_visa_consumo_delta2	0.0113742444270884	0.0318123079826443	0.037708484408992	11
mcaja_ahorro_lag1_-_cliente_edad	0.0107335460421685	0.00326939285331593	0.00362581580855693	12
ccallcenter_transacciones_+_ccomisiones_mantenimiento_delta1	0.0106194059859351	0.00936556905907697	0.00725163161711385	13
mtarjeta_master_consumo_lag2_-_mcuentas_saldo/mcuenta_corriente_lag1/mcuenta_corriente_lag1	0.00921112578501885	0.000220705008564314	0.000725163161711385	14
mcomisiones/mcomisiones_lag1_-_mcaja_ahorro_lag2	0.00863453034920455	0.00708135218601914	0.00870195794053662	15
Master_fechaalta_delta2/mtarjeta_visa_consumo_delta1/mrentabilidad/cliente_antiguedad_lag2	0.00858721400011773	0.00642603423486531	0.0101522842639594	16
cproductos_delta1/ccallcenter_transacciones_delta2	0.0082140968483979	0.0177611555986304	0.00797679477882524	17
mrentabilidad/cliente_antiguedad_lag2_-_mpasivos_margen	0.00808012936400397	0.00410823181702595	0.00652646845540247	18
Master_fechaalta_lag1/cproductos_delta1_+_cpayroll_trx	0.00782694732589557	0.015558903447956	0.00797679477882524	19
mrentabilidad_annual_lag1/mpayroll_sobre_edad_lag2/ccomisiones_mantenimiento_lag2	0.0077926693324586	0.00805373367302713	0.00652646845540247	20
mprestamos_personales/cliente_antiguedad_lag2	0.00775579459735297	0.0103303538157177	0.00580130529369108	21
Visa_status_lag1_-_mrentabilidad_annual/Visa_fechaalta_delta1	0.00763431496369594	0.0061433558996208	0.00580130529369108	22
mactivos_margen_lag1/Visa_mpagominimo_lag1/ccomisiones_mantenimiento_lag1	0.00730623435373374	0.0111228127413961	0.00797679477882524	23
mpayroll_lag2/mpayroll_sobre_edad_lag2	0.00710213565954594	0.0146752837578706	0.0108774474256708	24
chomebanking_transacciones_delta2_-_mpayroll_delta1	0.00705270434939512	0.0166756228119417	0.0130529369108049	25
mcomisiones_lag2/Master_fechaalta_+_mrentabilidad_annual/cliente_edad_lag1	0.00635235965450958	0.0071145379028866	0.00580130529369108	26
mrentabilidad_annual_delta2/mpasivos_margen_-_mpayroll_delta1/mcuentas_saldo_lag2	0.00613193389761034	0.00794298134083091	0.0101522842639594	27
mtarjeta_master_consumo_delta2_+_mcuentas_saldo_lag1	0.00610539688316134	0.00203152563136826	0.00290065264684554	28
ctrx_quarter_delta2/mpayroll_lag2_+_cpayroll_trx_delta2/mrentabilidad_lag1	0.00606473567626196	0.00564796911409329	0.0101522842639594	29
canarito38	0.00593591209289337	0.0149067841201147	0.0101522842639594	30
mpayroll_lag1_-_mcaja_ahorro/mcomisiones_delta2	0.00572054894613307	0.00841997604231139	0.00870195794053662	31
mcomisiones/mcaja_ahorro	0.0057003812246428	0.00335455619901195	0.00725163161711385	32
mrentabilidad_annual_lag1_-_cpayroll_trx_delta2	0.00565084078195009	0.00289275495826596	0.00290065264684554	33
cliente_antiguedad_delta1/mprestamos_personales_lag1/mcaja_ahorro_delta2_-_mpayroll_sobre_edad	0.00560775531642299	0.000928800244374821	0.00145032632342277	34
mcuenta_corriente_lag1/mcuenta_corriente_lag1/mpasivos_margen_delta2/mtarjeta_visa_consumo_delta2/mprestamos_personales	0.00543211365144062	0.000490988678472785	0.000725163161711385	35
mcuenta_corriente_lag1/mcaja_ahorro_lag1	0.00534655263822148	0.000791259441936191	0.00145032632342277	36
mtarjeta_visa_consumo_lag1/Visa_fechaalta_lag1	0.00523127134943323	0.018032638752281	0.00870195794053662	37
internet_delta1/cpayroll_trx/cproductos_lag2	0.00509886487149201	0.00192876985745335	0.00290065264684554	38
cliente_edad_lag2/mpasivos_margen/mactivos_margen_delta1	0.00489925341831716	0.00757154120866379	0.00797679477882524	39
Visa_mpagominimo_delta1/cproductos_lag2/mcuenta_corriente_lag2	0.00472486177627443	0.017090644186742	0.00580130529369108	40
Visa_fechaalta_lag1/mpasivos_margen_lag2/mrentabilidad_annual_lag1	0.00462468501893859	0.00079325858150652	0.00145032632342277	41
mpayroll_sobre_edad_-_mprestamos_personales_delta2	0.00459292615843295	0.0205927368860442	0.00797679477882524	42
