Feature	Gain	Cover	Frequency	pos
ctrx_quarter/cproductos_lag2	0.140581372652446	0.0112470103429653	0.0062111801242236	1
ctrx_quarter	0.120692979921044	0.017947472803765	0.0112930547713156	2
mpayroll_sobre_edad/ctarjeta_visa_transacciones_lag1/ccomisiones_mantenimiento	0.0567207796472955	0.0337673536259377	0.0146809712027103	3
mtarjeta_visa_consumo	0.0294780931836798	0.0168122729865104	0.0135516657255788	4
mcaja_ahorro/cliente_antiguedad	0.0210682260796642	0.00211881778257837	0.00395256916996047	5
ctrx_quarter/cproductos_lag2/ccomisiones_mantenimiento	0.0203798581439187	0.00478193846260905	0.00451722190852626	6
mpasivos_margen_lag2	0.0152460109789925	0.00485122437896068	0.00338791643139469	7
mprestamos_personales/cliente_antiguedad_delta1	0.0147613547025364	0.00769134183220403	0.00508187464709204	8
mcaja_ahorro	0.0142570993573787	0.00320833125324305	0.00169395821569735	9
mrentabilidad_annual/mprestamos_personales	0.0103765591796706	0.0142341712693392	0.00790513833992095	10
mactivos_margen/mtarjeta_visa_consumo_lag1/Master_fechaalta_delta2/cdescubierto_preacordado_lag1	0.00948306875079536	0.00263225970418847	0.00338791643139469	11
Visa_fechaalta_delta1/mtarjeta_visa_consumo_lag1/mrentabilidad_annual_delta1	0.00889857569900437	0.00777394032636995	0.00677583286278939	12
mcaja_ahorro_lag1_-_mrentabilidad_delta2	0.00864914286631571	0.00243831965012125	0.00282326369282891	13
Visa_fechaalta_lag1/kmes_delta1	0.00855251552671869	0.0104981778409117	0.0118577075098814	14
ccomisiones_mantenimiento_delta2	0.00852702150369912	0.00488571605784315	0.00225861095426313	15
mrentabilidad_annual_lag2	0.00803291734264953	0.00684054708643645	0.00846979107848673	16
cliente_edad_lag1/ccomisiones_mantenimiento	0.00744745370883292	0.0202632562262775	0.0107284020327499	17
mcaja_ahorro_lag2/cproductos_lag2/chomebanking_transacciones/cliente_edad_lag1	0.00718746035309601	0.00628383928692992	0.00677583286278939	18
mcuentas_saldo/ctrx_quarter/cproductos_lag2	0.00669134904181626	0.0061159192713179	0.00677583286278939	19
canarito11	0.00651761993480062	0.00959927627986064	0.0101637492941841	20
canarito78	0.00639881506339817	0.0173499195950556	0.00903444381705251	21
chomebanking_transacciones/cliente_edad_lag1	0.00619362095358759	0.00909793670171808	0.00734048560135517	22
mrentabilidad_annual_lag1/Visa_fechaalta_lag1	0.00567701348905651	0.00312210205603688	0.00564652738565782	23
mcomisiones_lag2/ctarjeta_visa_transacciones_lag2	0.00562453186574037	0.00333298539095864	0.00451722190852626	24
Visa_fechaalta_lag1/ctrx_quarter_lag2	0.00551813144713029	0.00311272273984954	0.00395256916996047	25
cproductos_delta2/Visa_mpagominimo_lag1	0.00544731557587623	0.00233030623467352	0.00225861095426313	26
Visa_fechaalta_delta1/mactivos_margen_lag1/Visa_fechaalta_lag2	0.00485388137917158	0.0042388457995035	0.0062111801242236	27
mrentabilidad_annual_lag1/Visa_fechaalta_lag1/Master_mpagominimo	0.00478877260802278	0.0043035933370548	0.00338791643139469	28
ctrx_quarter_delta1	0.00469205066201127	0.0109995174190542	0.00677583286278939	29
