Feature	Gain	Cover	Frequency	pos
cliente_antiguedad_delta1/ctrx_quarter	0.0619541985530379	0.00207894424194303	0.00184049079754601	1
cpayroll_trx_+_ctrx_quarter	0.0594508621754652	0.00391634867743864	0.00184049079754601	2
ctrx_quarter/ccomisiones_mantenimiento	0.0418987858017969	0.00465929632057634	0.00245398773006135	3
mtarjeta_master_consumo/cpayroll_trx	0.0398339375026559	0.0134751719661962	0.00674846625766871	4
mtarjeta_visa_consumo	0.0321784346675271	0.0162057500220102	0.0122699386503067	5
cliente_edad/ctrx_quarter	0.0321384756234076	0.00173267172809295	0.000613496932515337	6
ccomisiones_mantenimiento/cpayroll_trx	0.0251170659174238	0.0268318650571432	0.0122699386503067	7
cliente_edad_lag2/ctrx_quarter	0.0216571757007186	0.00513353911128407	0.0049079754601227	8
mprestamos_personales_delta2/cpayroll_trx	0.0200186961996047	0.00772632819892145	0.00368098159509202	9
mtarjeta_visa_consumo_lag1/ccomisiones_mantenimiento	0.0154054820855161	0.00541664471098191	0.00429447852760736	10
mpasivos_margen/kmes	0.0151408767022877	0.00325849635906561	0.00368098159509202	11
kmes_+_ctrx_quarter	0.0142074125100555	0.00341494084074835	0.00245398773006135	12
ccomisiones_mantenimiento_lag2/cpayroll_trx	0.0136440398458835	0.00645709870108533	0.0049079754601227	13
mcaja_ahorro_lag2/cliente_edad	0.013420383011398	0.00411043147584422	0.00245398773006135	14
ccomisiones_mantenimiento_delta2/ctrx_quarter	0.0132172665891221	0.00859331864238919	0.00552147239263804	15
mtarjeta_visa_consumo/ctarjeta_visa_transacciones_lag2	0.0129533366310222	0.00650226468115273	0.00858895705521472	16
kmes/ctrx_quarter	0.0127672383437019	0.00274072403684366	0.00184049079754601	17
mcaja_ahorro/cliente_antiguedad	0.0122609471002692	0.00202330499113536	0.00122699386503067	18
mcaja_ahorro/Master_fechaalta_lag1	0.00870724829312269	0.00345061541920739	0.00429447852760736	19
cliente_edad_-_ctrx_quarter	0.0085099979315417	0.00724815793168613	0.00368098159509202	20
mcaja_ahorro_lag2/ccomisiones_mantenimiento_delta2	0.0084382313098225	0.000438568212248687	0.00122699386503067	21
