Feature	Gain	Cover	Frequency	pos
ctrx_quarter_-_ccomisiones_mantenimiento	0.0813621439346036	0.00237529306505933	0.0010443864229765	1
ctrx_quarter_+_cpayroll_trx	0.0681341712043588	0.00710860335494118	0.00496083550913838	2
mpayroll_sobre_edad/cpayroll_trx	0.0543152639416346	0.0266222047724239	0.012532637075718	3
ctrx_quarter/cliente_edad	0.0348549841126641	0.00453166884211785	0.00574412532637076	4
mtarjeta_visa_consumo/ctarjeta_visa_transacciones_lag2	0.0265842092916022	0.0100094598722047	0.0122715404699739	5
mpayroll_sobre_edad_-_mprestamos_personales_lag2	0.0242468774699598	0.0306600275252723	0.0161879895561358	6
mactivos_margen_lag1_-_mtarjeta_visa_consumo	0.0237533662797486	0.00640218345025793	0.00783289817232376	7
ctrx_quarter_lag1/ccomisiones_mantenimiento	0.0213682427932365	0.006643370376064	0.00861618798955614	8
mcaja_ahorro_lag2/cliente_antiguedad	0.020326002938014	0.0136993364052837	0.00939947780678851	9
ctrx_quarter_-_cpayroll_trx	0.0199868598934341	0.00108149459232459	0.0010443864229765	10
mpayroll_delta2_-_mcuentas_saldo	0.0175509853542098	0.0230045358528347	0.0140992167101828	11
mrentabilidad_annual_lag2_-_ctrx_quarter_lag1	0.0160645417066723	0.0124130961126525	0.0138381201044386	12
mpayroll_sobre_edad/ccomisiones_mantenimiento_lag1	0.0158639338511263	0.00636709189977691	0.00600522193211488	13
cproductos/cliente_edad	0.0124052468206464	0.0171562590301694	0.0164490861618799	14
mtarjeta_visa_consumo_-_ctarjeta_visa_transacciones_lag2	0.0119072639746396	0.0134813638897958	0.0148825065274151	15
mcaja_ahorro/Master_fechaalta_delta2	0.011663031262513	0.00313812938551591	0.00548302872062663	16
mpasivos_margen_-_cproductos_delta2	0.0116209442337495	0.00450089625169604	0.00652741514360313	17
Visa_mpagominimo_delta1_-_mcomisiones_delta1	0.0111495270977258	0.0100035213021233	0.00939947780678851	18
ctarjeta_visa_transacciones_lag1/ctrx_quarter	0.0109855503661173	0.0112890867572452	0.012532637075718	19
cliente_antiguedad_delta2_-_ccomisiones_mantenimiento_delta1	0.00934955445549607	0.00801693464239213	0.00417754569190601	20
canarito5	0.00888592768176721	0.0157165606879348	0.0138381201044386	21
ccomisiones_mantenimiento_delta2_-_ccomisiones_mantenimiento_lag2	0.00803621138674149	0.00416239775705607	0.00365535248041775	22
mrentabilidad_annual_-_Master_fechaalta_delta2	0.00798624647086255	0.0121532836715911	0.0109660574412533	23
cliente_antiguedad_-_ctrx_quarter	0.00796648103937542	0.00889975707199342	0.00939947780678851	24
canarito36	0.00734867939972333	0.0097669232713801	0.0122715404699739	25
mrentabilidad_annual_delta2/ccomisiones_mantenimiento	0.00706975334906554	0.00517006512586867	0.00809399477806788	26
Master_mpagominimo/kmes	0.00703117149508694	0.0101248570862865	0.00496083550913838	27
mrentabilidad_lag1_-_Visa_mpagominimo_delta1	0.00701212240397648	0.00722224599149894	0.00992167101827676	28
mcuentas_saldo_lag1_-_mprestamos_personales_delta2	0.00695530851071942	0.0135182100178009	0.010443864229765	29
ctarjeta_visa_transacciones_lag1_-_Visa_fechaalta_lag2	0.00693779424640548	0.0133897209560396	0.00913838120104439	30
canarito40	0.00663184990309779	0.0104285339654491	0.0120104438642298	31
mrentabilidad_annual_delta2_-_mcuentas_saldo_delta2	0.00662275906701188	0.00750446303786743	0.0101827676240209	32
canarito29	0.00639390416999425	0.00892783031237823	0.0114882506527415	33
cproductos_lag1/cproductos	0.00621594343249055	0.0140370250949125	0.00522193211488251	34
mrentabilidad_annual_lag2_-_mactivos_margen_delta2	0.00621034696501017	0.00630689639395178	0.00913838120104439	35
Master_fechaalta_lag1_-_Master_status_lag2	0.00606070582055261	0.00761068246182343	0.00835509138381201	36
canarito17	0.00588680246629256	0.00756384873868146	0.00966057441253264	37
canarito27	0.00565365870193454	0.0113364603503945	0.0112271540469974	38
canarito21	0.00555211927997321	0.0108207495258254	0.0101827676240209	39
Master_mpagominimo_lag1_-_cliente_antiguedad_lag1	0.00549209811610776	0.0071374864003371	0.00704960835509138	40
mcaja_ahorro_-_mpasivos_margen	0.00545139044046198	0.00156197889891083	0.00156657963446475	41
canarito1	0.00534184620001956	0.00779828728939502	0.010443864229765	42
ccallcenter_transacciones_lag1_-_chomebanking_transacciones_lag1	0.00522328968522824	0.00424634754320681	0.00731070496083551	43
ctrx_quarter_-_cliente_edad	0.00519423238996373	0.0103084128888026	0.00574412532637076	44
Visa_mpagominimo_lag2/cproductos	0.00506526637735723	0.0117091056230026	0.00913838120104439	45
canarito3	0.00502239078910645	0.00701601564867204	0.00835509138381201	46
mactivos_margen_lag2_-_Master_status_delta1	0.00496010477124773	0.00422866680046445	0.00600522193211488	47
canarito37	0.00490767871542507	0.00403957733037251	0.00809399477806788	48
mcuentas_saldo_lag2_-_ccomisiones_mantenimiento_delta1	0.00473801963070202	0.00142093785947751	0.0031331592689295	49
canarito30	0.00471992722257056	0.0058440928301079	0.00704960835509138	50
canarito23	0.00462546103966485	0.00658250003272962	0.00835509138381201	51
cliente_edad/cliente_antiguedad	0.004599290505921	0.0133789235558916	0.00757180156657964	52
canarito33	0.0045950201484152	0.00780733011201898	0.00704960835509138	53
mrentabilidad_lag2_-_mtarjeta_master_consumo_lag1	0.00456871507106219	0.0028138024785702	0.00443864229765013	54
canarito11	0.00456159264915406	0.00371228113838609	0.00704960835509138	55
