Feature	Gain	Cover	Frequency	pos
ctrx_quarter_-_cpayroll_trx	0.127157194328038	0.0209226392284064	0.00871080139372822	1
ctrx_quarter/ccomisiones_mantenimiento	0.104026446871382	0.0219311055791368	0.0113240418118467	2
cproductos_+_ctrx_quarter	0.0915290813168825	0.0129366885946568	0.0078397212543554	3
cpayroll_trx/ccomisiones_mantenimiento	0.0741330133796168	0.0576148322127892	0.0261324041811847	4
mtarjeta_visa_consumo_lag1_-_chomebanking_transacciones_lag1	0.0352436287261763	0.0242410449543269	0.0182926829268293	5
mtarjeta_master_consumo_delta2/cpayroll_trx	0.030888721032335	0.0132348357363463	0.00958188153310105	6
mpayroll_sobre_edad_lag2_-_mcuentas_saldo	0.0224259755174845	0.0205688815696933	0.0235191637630662	7
mprestamos_personales_lag2_-_cdescubierto_preacordado_lag1	0.019721724192295	0.0282356558746436	0.0174216027874564	8
mcaja_ahorro_lag1_-_ctarjeta_visa_transacciones_lag1	0.0168767116619975	0.00760415405889014	0.00958188153310105	9
mcuentas_saldo_lag2_-_mrentabilidad_annual_delta1	0.0158781021583505	0.00935331511115327	0.0078397212543554	10
mactivos_margen_lag1_-_mprestamos_personales_lag1	0.0152747466908902	0.0131586633474821	0.0130662020905923	11
ccomisiones_mantenimiento_lag2/cliente_edad	0.0150204615261443	0.0131081932984187	0.014808362369338	12
cliente_edad/ctrx_quarter	0.0148435627589601	0.0115945591417849	0.0130662020905923	13
ccomisiones_mantenimiento_delta1/cliente_antiguedad	0.0133208946045136	0.0269725027022505	0.0121951219512195	14
mrentabilidad_annual/ccomisiones_mantenimiento	0.0129997802666502	0.00676579046611427	0.0121951219512195	15
Visa_mpagominimo/cliente_edad	0.0129611257539088	0.0479741182111359	0.0426829268292683	16
mrentabilidad_annual_lag1/kmes	0.0128698819908155	0.0096355735336932	0.0130662020905923	17
cliente_edad_lag2/cproductos	0.0123736463126386	0.0280127464912801	0.0252613240418118	18
mprestamos_personales_lag1/Visa_fechaalta_lag2	0.0116845421429316	0.00694757610579644	0.00696864111498258	19
mactivos_margen_lag1_-_mrentabilidad_annual_lag1	0.0113311493499011	0.0080261397468927	0.0113240418118467	20
ccomisiones_mantenimiento_+_cpayroll_trx	0.010239202533815	0.00771023462497716	0.00522648083623693	21
mactivos_margen_lag2_-_Master_mpagominimo	0.00914910979821387	0.0130759485448504	0.0104529616724739	22
chomebanking_transacciones_delta1/kmes	0.00909676190769351	0.0207544057315283	0.0174216027874564	23
