num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
251	297	0.939481068355967	9			22.229	-0.000369204844089041		0.0169999999998254	infill_ei	0.223000000000184	0.00079667568057849	0.938936731330598	385
254	2	0.938838775751369	6			16.7700000000002	-5.24993369481098e-05		0.0150000000001	infill_ei	0.349999999999909	0.00194671020170102	0.935036228453557	281
246	2	0.938099166085468	7			19.4659999999999	-0.000116740711345296		0.0160000000000764	infill_ei	0.286000000000058	0.000608971718988367	0.938522121331565	365
198	2	0.938026873411357	3			24.4870000000001	-6.71100268493991e-05		0.0139999999998963	infill_ei	0.258000000000038	0.00023899082589445	0.937134292751436	609
256	2	0.937968946589153	8			18.731	-0.000117813127694065		0.01299999999992	infill_ei	0.308999999999969	0.000133511518816875	0.938939125510749	330
208	2	0.937197361317395	2			18.4659999999999	-0.000790102510511444		0.0150000000001	infill_ei	0.26299999999992	0.000794884217486392	0.936499541946018	388
186	2	0.93695175159125	4			18.0809999999999	-0.000293769324047388		0.0149999999998727	infill_ei	0.259999999999991	0.000462786672004515	0.938215050086592	404
252	665	0.936111349254714	10			24.558	-0.000111777321638082		0.0169999999998254	infill_ei	0.204000000000178	0.000646767859343425	0.939102709981172	423
235	836	0.935790434659703	0			31.1410000000001				initdesign				710
198	864	0.935539032251338	5			35.2850000000001	-0.000127851205352637		0.0109999999999673	infill_ei	0.173000000000002	0.000560546334750449	0.937798808741215	806
204	4059	0.934374471417747	0			40.0999999999999				initdesign				2035
256	2574	0.933859849529287	1			30.1960000000001	-0.000483748377129017		0.0259999999998399	infill_ei	0.198000000000093	0.00100476641148262	0.935946582337635	1093
49	1837	0.933576471515064	0			25.9860000000001				initdesign				1201
136	2384	0.932569008223292	0			30.8979999999999				initdesign				1143
18	4777	0.93168458150188	0			30.076				initdesign				1574
190	6760	0.93087638647849	0			35.086				initdesign				1737
95	5454	0.930388410928242	0			13.575				initdesign				532
128	7721	0.926994594268952	0			11.111				initdesign				460
