Feature	Gain	Cover	Frequency	pos
mactivos_margen_lag2_+_mtarjeta_visa_consumo_lag2/cpayroll_trx_lag1	0.105110954404347	0.00755428012731358	0.00338409475465313	1
mtarjeta_visa_consumo_+_cpayroll_trx_delta1/mtarjeta_visa_consumo	0.0684982407772645	0.0240376737199147	0.0186125211505922	2
mtarjeta_visa_consumo_delta2/ctrx_quarter_lag1_-_mcaja_ahorro	0.0581412553637647	0.0096566979077611	0.00676818950930626	3
mtarjeta_master_consumo_delta1/mrentabilidad_lag1/cdescubierto_preacordado_lag1_+_cdescubierto_preacordado_lag2/ccomisiones_mantenimiento_delta2/cpayroll_trx	0.0487715058756562	0.0333036487401241	0.0160744500846024	4
mprestamos_personales_delta1_-_mpayroll_sobre_edad/Master_mpagominimo_lag1	0.041015000949361	0.0106074873642683	0.00423011844331641	5
mpayroll_-_mpayroll_sobre_edad_lag2	0.0359205498770092	0.0180421770750649	0.00846023688663283	6
chomebanking_transacciones_delta1/mpayroll_sobre_edad_lag2/ccomisiones_mantenimiento_lag2	0.0250557239691297	0.010172488635487	0.00423011844331641	7
mcaja_ahorro_lag1_-_mrentabilidad_lag2	0.0243977579492337	0.000944855580878497	0.00253807106598985	8
mactivos_margen_lag2_-_mrentabilidad_annual/Visa_fechaalta_delta1	0.0224086555505589	0.00637252597325831	0.00846023688663283	9
mpayroll_sobre_edad_delta1_-_mprestamos_personales_lag1	0.01868963228603	0.0189842939441148	0.0135363790186125	10
mprestamos_personales_lag2_-_mactivos_margen_delta1	0.0169959760897706	0.00527932350166217	0.00592216582064298	11
ctrx_quarter_lag1_-_Master_fechaalta_lag1/Visa_mpagominimo_lag1	0.0153288386339496	0.0058571916975038	0.00676818950930626	12
mrentabilidad_annual/cliente_edad_lag2_-_cdescubierto_preacordado_lag1	0.0122204738830736	0.00752369784522718	0.0101522842639594	13
mtarjeta_visa_consumo_-_mactivos_margen_delta2_-_cproductos_lag1	0.0112362172516684	0.0111949410515102	0.0126903553299492	14
mcuentas_saldo/mpasivos_margen/mpayroll_sobre_edad_+_cpayroll_trx_lag2	0.0101733084775834	0.000643140827757392	0.00169204737732657	15
Visa_fechaalta_lag2/Master_fechaalta_lag1/mcaja_ahorro_lag2	0.00960273893830822	0.00869723586379656	0.00846023688663283	16
mprestamos_personales_lag1/mcaja_ahorro_delta2_-_mcuenta_corriente_lag2	0.00915324632875952	0.00309337501044134	0.00423011844331641	17
Master_fechaalta_delta2/mactivos_margen_delta2_-_mcuentas_saldo	0.00868249475390081	0.0106138776918684	0.00761421319796954	18
Visa_fechaalta_delta2/Visa_fechaalta_+_Master_fechaalta_lag1/mcaja_ahorro_lag2	0.00854526534506448	0.00469095691047744	0.00592216582064298	19
ccomisiones_mantenimiento_delta2/ctrx_quarter_lag2/mrentabilidad/chomebanking_transacciones_lag1	0.00850133453107667	0.00433218566092648	0.0050761421319797	20
mcuentas_saldo_lag1/mtarjeta_visa_consumo_delta1/mcaja_ahorro_delta1/mrentabilidad_delta1_-_mtarjeta_visa_consumo_lag1	0.00810793964383647	0.00596993533444921	0.00761421319796954	21
mpayroll_sobre_edad/Master_mpagominimo_lag1/mcomisiones_lag2/mcomisiones_delta1	0.00766160248834467	0.00594346112010575	0.00253807106598985	22
chomebanking_transacciones_delta2_+_mtarjeta_visa_consumo_delta1/mcuentas_saldo	0.00698568321545622	0.0150099666287964	0.0126903553299492	23
cproductos_delta1/mtarjeta_visa_consumo_lag2	0.00677354926655028	0.0216422137738034	0.00846023688663283	24
cliente_edad_lag1/mpayroll/mprestamos_personales_lag1	0.00671482856322469	0.000554132693326809	0.000846023688663283	25
mcuenta_corriente_lag1/Visa_fechaalta_lag2_-_mpasivos_margen/Master_fechaalta_lag2	0.0063884564672054	0.01574074623507	0.011844331641286	26
canarito23	0.00633269160866705	0.00617807743342534	0.00846023688663283	27
mcuenta_corriente/ctrx_quarter_lag2/mtarjeta_master_consumo_lag2/chomebanking_transacciones_lag1_+_mtarjeta_master_consumo	0.00629286015136394	0.00735115900002328	0.0050761421319797	28
mrentabilidad_annual_delta1/ccomisiones_mantenimiento_lag2/cliente_antiguedad/mcuentas_saldo_lag2_-_cliente_antiguedad_delta1/cproductos_delta2	0.00623114229032949	0.0048899699700248	0.00592216582064298	29
mtarjeta_visa_consumo_delta2/ctrx_quarter_lag1_-_cpayroll_trx_lag2	0.00613732129437204	0.0124154936231377	0.011844331641286	30
canarito60	0.00560898721198263	0.00923037176643718	0.00930626057529611	31
mpayroll_lag2_+_Visa_fechaalta	0.00539232809680618	0.00948781067832871	0.00930626057529611	32
mcaja_ahorro_delta1/mcuenta_corriente_lag2/mpayroll_sobre_edad_lag2/ccomisiones_mantenimiento_lag2_+_mcuentas_saldo_lag1/mtarjeta_visa_consumo_delta1	0.00515481516230574	0.00194813701410117	0.00169204737732657	33
mpasivos_margen_delta2/mtarjeta_visa_consumo_lag1_-_ctrx_quarter_lag1	0.00502385973135358	0.00524645895971857	0.00338409475465313	34
Master_fechaalta_delta2/mpasivos_margen_delta2	0.00484394630273035	0.00424728559423885	0.0050761421319797	35
Master_status_delta2_-_mpayroll_sobre_edad_lag2	0.00469462630545259	0.0137748075940827	0.0143824027072758	36
cdescubierto_preacordado/cliente_antiguedad_lag1/cliente_edad_lag2	0.00465881469113305	0.00981371738593608	0.00676818950930626	37
mrentabilidad_annual/Visa_fechaalta_delta1/cproductos_lag1/cdescubierto_preacordado/mtarjeta_visa_consumo_delta2/ctrx_quarter_lag1	0.0045217496902244	0.0011808412501124	0.00253807106598985	38
mcomisiones_delta2/mpayroll_sobre_edad_lag1/mcomisiones_delta1/mpayroll_lag1	0.00445325727676153	0.00537107034792139	0.00253807106598985	39
mtarjeta_visa_consumo/mactivos_margen_lag1/kmes_delta1/Visa_mpagominimo_lag2_+_internet_lag2	0.00433734572320932	0.0128285826572899	0.00592216582064298	40
ccomisiones_mantenimiento_delta1/ccomisiones_mantenimiento_lag2/Master_status_delta1	0.00412277310307606	0.0104796808122654	0.00423011844331641	41
mactivos_margen/Visa_fechaalta_delta2	0.00410406891763771	0.00655967128154825	0.00423011844331641	42
mrentabilidad_lag1/mactivos_margen_delta1_-_ctarjeta_visa_transacciones_delta2/mpayroll	0.00405611732181803	0.00513143306291597	0.00423011844331641	43
cproductos_delta1_-_chomebanking_transacciones_delta1/kmes_delta1	0.00390679282948051	0.00523687346831835	0.00423011844331641	44
ccallcenter_transacciones_delta2/Visa_mpagominimo	0.00380463370598255	0.0110826538665362	0.00423011844331641	45
canarito53	0.00377164812683722	0.0156284590500961	0.00676818950930626	46
canarito29	0.00376038607538493	0.00587088525664697	0.00676818950930626	47
canarito62	0.00376033744549698	0.00705629102647376	0.00846023688663283	48
cdescubierto_preacordado_lag2_-_ctrx_quarter_delta2/mpayroll_lag2	0.00374892762963048	0.00722015728422032	0.00592216582064298	49
mactivos_margen_lag1/ctrx_quarter_delta2/Visa_fechaalta_delta2/mrentabilidad_annual_lag2/mrentabilidad_lag1/Visa_fechaalta_lag1_-_cliente_antiguedad	0.00372073861701754	0.00319425089612933	0.00338409475465313	50
mcaja_ahorro_lag2/Visa_fechaalta_delta2/mrentabilidad_annual_lag2_-_cdescubierto_preacordado_delta1	0.00371170074026905	0.000280717962434916	0.000846023688663283	51
canarito99	0.00364611009948949	0.005347791297378	0.00761421319796954	52
ccomisiones_mantenimiento_delta2/mpayroll_sobre_edad_lag2/ccomisiones_mantenimiento_lag2_-_mpayroll_sobre_edad	0.00363588593625624	0.0139948174443163	0.0126903553299492	53
mrentabilidad_annual_delta1/mcaja_ahorro_lag1/Visa_mpagominimo_lag1/ccomisiones_mantenimiento_lag1	0.00336349898272135	0.00193718216678664	0.00253807106598985	54
mtarjeta_visa_consumo_delta2/mcuenta_corriente_lag2_-_mcaja_ahorro_delta2/kmes_lag2	0.00331887836201933	0.00326956547141675	0.00592216582064298	55
cproductos_lag2_-_mcuentas_saldo_delta1/Visa_mpagominimo_lag1	0.00324346811975537	0.0019097950485003	0.0050761421319797	56
mtarjeta_visa_consumo_delta2/mactivos_margen_-_mpasivos_margen_delta1/mpayroll_lag1/Master_fechaalta_lag2/mcomisiones_delta1	0.00323685756447315	0.00972379634756262	0.00930626057529611	57
Master_fechaalta_delta1/mcuenta_corriente_delta1_-_mcuentas_saldo/mactivos_margen_lag2/mactivos_margen_lag1	0.00316986569072993	0.00743925423051099	0.0050761421319797	58
mactivos_margen_delta1/ccallcenter_transacciones_delta2_+_cliente_antiguedad_delta1	0.00314302552904026	0.00368676257331189	0.00423011844331641	59
mcaja_ahorro_lag1/chomebanking_transacciones_delta2_-_mcomisiones_lag2	0.00312930834997371	0.00665552619555041	0.00253807106598985	60
canarito72	0.003110437965076	0.00377531425577104	0.0050761421319797	61
mprestamos_personales/cliente_antiguedad_lag1/ctrx_quarter_delta2_-_ccallcenter_transacciones_lag2	0.00307012779311069	0.0106558712732408	0.00423011844331641	62
mactivos_margen_lag2/mactivos_margen_lag1_-_mtarjeta_visa_consumo_delta2/Master_fechaalta_lag1	0.0029547344520822	0.00617533872159671	0.0101522842639594	63
canarito25	0.0029415339794976	0.0104326662592072	0.0050761421319797	64
mrentabilidad_annual/mactivos_margen_delta1/mcuentas_saldo_lag2/cproductos	0.00289346614871218	0.00460286167998974	0.0050761421319797	65
mrentabilidad_annual_delta1/ccomisiones_mantenimiento_lag2/cliente_antiguedad/mcuentas_saldo_lag2_-_mprestamos_personales/cliente_antiguedad_lag1/ctrx_quarter_delta2	0.00287507620986899	0.0024954229278564	0.0050761421319797	66
Master_mpagominimo_lag1_+_mactivos_margen_lag1/cproductos_lag1	0.0028616638197614	0.00891678926205866	0.00423011844331641	67
canarito92	0.00279719533068956	0.00464576816530499	0.0050761421319797	68
mcuentas_saldo_lag2/mpasivos_margen_lag2/mactivos_margen_lag1/kmes_delta1_+_Visa_status	0.00270156908725629	0.00978404800779255	0.0050761421319797	69
mtarjeta_visa_consumo_delta2/ctrx_quarter_lag1/Visa_fechaalta_delta1	0.00253743249754992	0.00767843506354496	0.0109983079526227	70
mprestamos_personales/cliente_antiguedad_lag1/ctrx_quarter_delta2_-_ctarjeta_visa_transacciones_lag2	0.00251701335067851	0.00699238775047231	0.00253807106598985	71
mrentabilidad_annual_delta1/mrentabilidad_annual/kmes_delta1_+_mtarjeta_visa_consumo_delta2/mcuenta_corriente_lag2/cproductos_lag1/mcuentas_saldo_lag2/mpasivos_margen_delta1	0.00249797689414534	0.00327093482733107	0.00592216582064298	72
canarito87	0.00246230702756034	0.0047667279377363	0.00423011844331641	73
mcomisiones_lag2_-_cproductos_lag1	0.00244840304238182	0.00199880318293089	0.00423011844331641	74
mcaja_ahorro_-_mtarjeta_visa_consumo_delta2/mcuenta_corriente_lag2/cproductos_lag1/mcuentas_saldo_lag2/mpasivos_margen_delta1	0.00239116795835892	0.00440567442832814	0.00846023688663283	75
mrentabilidad_delta2/mcuentas_saldo_lag2/mpasivos_margen_delta1/Visa_fechaalta_lag1_-_mcuenta_corriente_delta1	0.0023896546850899	0.00247807775294172	0.00338409475465313	76
