Feature	Gain	Cover	Frequency
ctrx_quarter	0.105112579816613	0.0181470917396644	0.0138165798958751
mcaja_ahorro	0.0671882865976548	0.00820337212238711	0.0102122547056468
ctrx_quarter/cliente_antiguedad_delta2	0.0614829981868934	0.00631772525024721	0.00607395541316246
ctrx_quarter_lag1	0.0413135719134599	0.0065599246960921	0.00760913095714858
cpayroll_trx	0.0411535592509844	0.0150267643991994	0.00440528634361234
mtarjeta_visa_consumo	0.0329802901322422	0.0119321760954224	0.0106127352823388
mcuentas_saldo	0.030874738902794	0.0163527665244348	0.0154852489654252
mprestamos_personales	0.0203213173490325	0.0174288476337234	0.00687491656654652
ctarjeta_visa_transacciones	0.0185116807411048	0.00777152076971316	0.00867707916166066
mpayroll_sobre_edad	0.0160411286540775	0.0109456088374892	0.00507275397143239
foto_mes	0.0146407614523274	0.0153978097963673	0.0116806834868509
cdescubierto_preacordado	0.0138142395714043	0.009165189493671	0.00440528634361234
Visa_mpagominimo	0.0119154363481908	0.00945603764924858	0.0119476705379789
cproductos_delta1	0.0111150002720067	0.0062637883922313	0.00353757842744627
cproductos	0.0109653891751428	0.0102877831995036	0.00954478707782673
mrentabilidad_annual_lag2	0.00964083907662845	0.0049322952161407	0.00574022159925244
mcaja_ahorro/ccomisiones_mantenimiento_delta2	0.00685372003265161	0.00121625296945801	0.0012681884928581
mcomisiones_lag2/cdescubierto_preacordado_lag1	0.00611462773293678	0.00254978644363391	0.00367107195301028
cproductos_delta2	0.00582451895195913	0.0066217014840435	0.00246963022293419
Master_fechaalta	0.00548393607476323	0.00468124555463714	0.00774262448271259
mpasivos_margen/ccomisiones_mantenimiento_delta2	0.00547891688000089	0.00430863188967308	0.00226938993458817
mtarjeta_visa_consumo/cliente_edad_lag2	0.00541832843819755	0.00468020426990991	0.00500600720865038
cpayroll_trx/mpasivos_margen_lag1	0.00531973684058078	0.00392341290242238	0.0026031237484982
kmes_lag2/ccomisiones_mantenimiento	0.00521626656951847	0.00666742078789267	0.00507275397143239
Visa_fechaalta	0.0048322964293388	0.00393760340105291	0.00854358563609665
mactivos_margen_lag2/ctarjeta_visa_transacciones_lag1/mactivos_margen	0.00451407670645407	0.00621092945412924	0.00380456547857429
mcuentas_saldo/mcaja_ahorro_lag1	0.00433164273224695	0.00275739240999531	0.00433853958083033
cliente_antiguedad_lag1/Master_fechaalta_lag1	0.00428398979968258	0.00914496827970548	0.00861033239887865
Master_fechaalta_delta2/cproductos	0.00420724489446514	0.0141389726496069	0.00941129355226272
cliente_edad_lag2	0.00413510810419947	0.00805879840364147	0.00687491656654652
mcuentas_saldo_lag1	0.00407956504468912	0.00372114862807849	0.0052062474969964
mrentabilidad	0.0040573567051376	0.00397982122648912	0.00774262448271259
mprestamos_personales_delta2/mprestamos_personales	0.00399882295294303	0.00868123726944878	0.0026698705112802
mcuenta_corriente/ctrx_quarter_lag2/cdescubierto_preacordado_lag2	0.00393971297534619	0.00305248179294632	0.00287011079962622
mprestamos_personales_lag1	0.00392010789349386	0.00301440656168882	0.00206914964624216
mrentabilidad_annual	0.00385784085220419	0.00355821363561082	0.00800961153384061
cliente_edad	0.00366764490626925	0.00472568121790916	0.00834334534775064
mpasivos_margen/cpayroll_trx	0.00361115048643859	0.00334768812668538	0.00273661727406221
mprestamos_personales_lag1/mcomisiones_lag2	0.00353676072967741	0.000585045612639094	0.00040048057669203
mcuentas_saldo_lag1/mactivos_margen_lag1/kmes_delta1	0.00342298402587381	0.00445597720119067	0.00627419570150848
kmes_delta1/mcaja_ahorro	0.00329609106456619	0.00225954981386366	0.00560672807368843
ctrx_quarter_delta2	0.00324841113828532	0.00492760873034533	0.00420504605526632
mrentabilidad_annual/Visa_fechaalta_delta1	0.00321990890745531	0.00489653645591374	0.00447203310639434
mtarjeta_master_consumo	0.00321330106574141	0.00585734635956573	0.00240288346015218
chomebanking_transacciones	0.00319858693501324	0.00255271021333486	0.00634094246429048
mcuentas_saldo/mcaja_ahorro_lag1/Visa_fechaalta_lag1	0.00318659524516268	0.0017834220200749	0.00300360432519023
mprestamos_personales_delta1	0.00316207915540365	0.00998401691350751	0.00367107195301028
cliente_edad_lag1	0.00314442713313986	0.00710464060445127	0.00707515685489254
Visa_mpagominimo_lag1/cdescubierto_preacordado_lag1	0.0029776879015856	0.00702608349198483	0.00553998131090642
mcaja_ahorro_lag1	0.00287769835262371	0.00266037539061211	0.00540648778534241
mrentabilidad_annual_delta2/mpasivos_margen	0.00279686105609099	0.00139484668611206	0.00340408490188226
ctarjeta_visa_transacciones_delta2	0.00265937575106228	0.00889422438110559	0.00313709785075424
mrentabilidad_annual_lag1	0.00259679948881763	0.00172645712298074	0.0039380590041383
Visa_fechaalta_lag2/cdescubierto_preacordado_lag2	0.00254281186731608	0.00352794310814783	0.00460552663195835
Master_mpagominimo	0.00253497126718914	0.00527520056285174	0.00333733813910025
ccallcenter_transacciones	0.00252883825064097	0.00300305388097527	0.0013349352556401
mrentabilidad_annual_lag2/mcuentas_saldo	0.00237854064874995	0.00373401462380835	0.00440528634361234
mtarjeta_visa_consumo_lag1/Visa_fechaalta	0.00227204738801299	0.00370747243110619	0.00367107195301028
chomebanking_transacciones_delta2	0.00224288742417991	0.00568718437201555	0.00353757842744627
mcuentas_saldo_lag2/ccomisiones_mantenimiento_delta2	0.00221859649967257	0.00384736107310211	0.00166866906955013
ctrx_quarter/cliente_antiguedad_delta2/mpasivos_margen_lag2	0.00221311994910721	0.0023721551051513	0.00380456547857429
numero_de_cliente	0.00212811960427864	0.0035221491124802	0.00587371512481645
mcomisiones/mactivos_margen_lag2/mcuenta_corriente_lag2/kmes_lag1/mcomisiones/kmes_delta1	0.00207158270203208	0.00656929062245465	0.00340408490188226
ccomisiones_mantenimiento_delta1/mpasivos_margen_lag2	0.00206927707579754	0.0026671500820445	0.00106794820451208
mtarjeta_visa_consumo_lag1	0.0020428024187196	0.00330165601470435	0.00447203310639434
ctrx_quarter_delta1	0.00202879791813241	0.00560680254544658	0.00453877986917635
mcomisiones/mrentabilidad_annual_lag1	0.00202038506853916	0.00121982912728983	0.00253637698571619
ccomisiones_mantenimiento_delta2	0.00201589206777393	0.00163983181518529	0.000800961153384061
mcuentas_saldo_delta2/cliente_antiguedad_lag1	0.00199306614069461	0.00267986390084535	0.00327059137631825
cliente_antiguedad	0.00198877256870236	0.00401127817038016	0.00500600720865038
mcomisiones_lag1	0.0019623918880756	0.00196352200651706	0.00373781871579228
chomebanking_transacciones_lag2/mpasivos_margen	0.00195599144102521	0.00246852396354055	0.00213589640902416
mcuenta_corriente_delta2/mcuenta_corriente_lag2/mcuentas_saldo_lag2	0.00194971737152479	0.00394890112898655	0.00233613669737018
mrentabilidad_annual_lag2/mcuentas_saldo/mcomisiones_delta2	0.00194033606354287	0.00309093323938944	0.00347083166466426
mpasivos_margen	0.00193136664309177	0.00140612186931547	0.00347083166466426
mcuentas_saldo_delta2/mpasivos_margen_lag2/Master_fechaalta/mrentabilidad_lag1/mactivos_margen_delta1	0.00192157744593137	0.00291823637873467	0.00333733813910025
mactivos_margen_lag2/mactivos_margen_lag1/mcuenta_corriente_lag2/kmes_lag1	0.0018911154944047	0.00522883873419118	0.00327059137631825
Visa_fechaalta_lag2/ctarjeta_visa_transacciones	0.00183901830486602	0.00293357665860664	0.00273661727406221
cliente_antiguedad_lag2	0.00181115644255722	0.00169418715975599	0.00313709785075424
Master_fechaalta_lag1	0.00180755259265862	0.00163223565014535	0.00380456547857429
mcaja_ahorro_delta1/mprestamos_personales_lag1/mcaja_ahorro_delta2/mcaja_ahorro_delta2/mrentabilidad_annual_delta1/ccomisiones_mantenimiento_lag2/ctrx_quarter_lag1/mpasivos_margen_delta2/kmes_lag1	0.00179302360573618	0.00093415780539	0.00146842878120411
mrentabilidad_annual_lag2/Master_fechaalta_delta2	0.00174582000598556	0.00240372195460218	0.00320384461353624
mcaja_ahorro_delta2/Visa_fechaalta_delta1	0.00174127443215355	0.00133345597666575	0.00166866906955013
mrentabilidad_annual_delta1/mcuentas_saldo_lag2	0.00172708109114059	0.00194371364292377	0.00300360432519023
chomebanking_transacciones_delta1	0.00170641917662052	0.00810697508308508	0.00353757842744627
chomebanking_transacciones_lag1	0.00170162892133611	0.00166872993219588	0.00300360432519023
mcuentas_saldo_delta1/Visa_mpagominimo_lag1/mactivos_margen_lag1	0.00170085156873255	0.00521803980841376	0.00320384461353624
mcaja_ahorro_delta1/mcuenta_corriente_lag2	0.0016727460651691	0.00112782126515333	0.00193565612067815
mrentabilidad_annual_delta1/Visa_mpagominimo_lag2/mpasivos_margen/cliente_edad_lag2	0.0016668520860601	0.00125546248245492	0.00220264317180617
mpasivos_margen_delta2/kmes_lag1/mpasivos_margen_lag2	0.00166636644345803	0.000986694072040727	0.0026031237484982
mrentabilidad_annual_delta1/Visa_mpagominimo_lag2	0.00165892615309472	0.00184342341052114	0.00220264317180617
Master_fechaalta_lag1/cproductos_delta1	0.00163759638701719	0.00332028500709779	0.0012681884928581
