Feature	Gain	Cover	Frequency	pos
ctrx_quarter_+_cpayroll_trx	0.209297299374845	0.0381967993035803	0.0162094763092269	1
ctrx_quarter/cliente_edad	0.109544605663934	0.0255221340289818	0.0187032418952618	2
mcaja_ahorro_-_mpayroll_sobre_edad_delta1	0.0470459320187215	0.0151835693534836	0.00997506234413965	3
ctrx_quarter_+_cproductos	0.0431931333122422	0.0104419575525243	0.00623441396508728	4
ccomisiones_mantenimiento_delta2/ccomisiones_mantenimiento	0.0349768433823336	0.0376350072375014	0.0249376558603491	5
mpayroll/kmes	0.0285698835904599	0.0377318928705189	0.0261845386533666	6
ccomisiones_mantenimiento_-_cproductos	0.02724689587367	0.0165941952491335	0.0199501246882793	7
ctrx_quarter/kmes	0.026622842145717	0.0169737844829705	0.00997506234413965	8
mcomisiones_delta2_-_Visa_mpagominimo	0.0211995341695522	0.0278654648992028	0.0187032418952618	9
mactivos_margen_-_mprestamos_personales_delta2	0.0201874276313557	0.0233263006896233	0.0211970074812968	10
mpayroll_sobre_edad/mprestamos_personales_lag2	0.0193787157682211	0.00522603996604665	0.00623441396508728	11
mtarjeta_visa_consumo_lag1/kmes	0.0174862595937449	0.0106523584421369	0.013715710723192	12
cliente_edad/cpayroll_trx	0.0168317229608014	0.0153021457998632	0.00498753117206983	13
mtarjeta_visa_consumo_delta2/cpayroll_trx	0.0167086406222437	0.0229922621638466	0.0261845386533666	14
mcuentas_saldo/cliente_edad	0.015998793625591	0.011441904048518	0.0124688279301746	15
mtarjeta_visa_consumo_-_Visa_mpagominimo_lag1	0.0147884784459827	0.0272508918539427	0.0187032418952618	16
mpayroll_sobre_edad/ctrx_quarter_lag2	0.013267788159226	0.0339417847490445	0.013715710723192	17
mprestamos_personales_lag2_-_mcuentas_saldo_lag2	0.0116198571921087	0.0219901465865167	0.0187032418952618	18
mrentabilidad_annual_lag2/kmes	0.0115852990455092	0.013141017761884	0.0162094763092269	19
mpayroll_lag2_-_mrentabilidad_annual_lag1	0.0115112179060635	0.00816514517661383	0.00872817955112219	20
mtarjeta_visa_consumo_lag2_-_cliente_antiguedad_lag1	0.0102524506628917	0.00250601197043687	0.00623441396508728	21
mpayroll_-_mcuenta_corriente_lag2	0.0100096267500527	0.0230891477968641	0.0162094763092269	22
mactivos_margen_lag2/cliente_antiguedad	0.00932530577151826	0.0145639351184391	0.00997506234413965	23
mpasivos_margen_-_mpayroll_lag1	0.00921979430648792	0.009794125260109	0.0124688279301746	24
mrentabilidad_annual_lag1_-_Master_mpagominimo_lag2	0.0088413281901699	0.00827649135187271	0.00997506234413965	25
Master_mpagominimo_lag1_-_Master_fechaalta_lag2	0.00854748479168499	0.00871681486312374	0.00997506234413965	26
mcuentas_saldo_lag1_-_mrentabilidad_annual_delta1	0.00772863845424944	0.000761347549010393	0.00249376558603491	27
cliente_edad_-_cproductos	0.00676857178025396	0.0196403084722871	0.013715710723192	28
ccallcenter_transacciones_delta2/cliente_edad	0.00654443313806557	0.0255640696014819	0.00872817955112219	29
Visa_mpagominimo/cpayroll_trx	0.00654006829088371	0.0406630447828533	0.0374064837905237	30
mcomisiones_lag1_-_ccallcenter_transacciones_delta2	0.00617242769369923	0.00569311548044429	0.00872817955112219	31
