Feature	Gain	Cover	Frequency
ctrx_quarter	0.109337532765327	0.0181370107111832	0.00562303193882141
mtarjeta_visa_consumo	0.0239246532214131	0.0137561714030386	0.00327158221895064
mcaja_ahorro	0.0233461221009046	0.00625945120925352	0.00378276694066168
mpayroll_sobre_edad	0.0221935474519544	0.0227067907118728	0.00273995010837116
mcuentas_saldo	0.0146935912642814	0.0106890393541004	0.00609332188279557
mcuenta_corriente	0.012204817834593	0.00568639707984071	0.00750419171471803
ctarjeta_visa_transacciones	0.0120079867371372	0.0095029827178278	0.00329202960781908
foto_mes	0.0116850791827717	0.014935587201959	0.00699300699300699
mprestamos_personales/mprestamos_personales_lag1	0.0112293416292792	0.011436456728212	0.00237189710873921
mcuenta_corriente_lag1	0.00978502397844781	0.00227641579825558	0.00237189710873921
mpasivos_margen/cpayroll_trx	0.00785075865390267	0.0126497863039472	0.00196294933137038
Visa_mpagominimo	0.00784982475100237	0.0112556269585004	0.0062569009937431
cliente_edad	0.00751243569385781	0.00477042738653681	0.0110415899889584
numero_de_cliente	0.00707011260740339	0.0046414671071775	0.0110620373778269
cproductos	0.006669033018473	0.0189337523069756	0.00613421666053245
mpayroll_sobre_edad/Visa_fechaalta_lag1	0.00633027990554883	0.0105076897325449	0.00136997505418558
mpasivos_margen	0.00619403315010014	0.0023607690872054	0.00329202960781908
Master_fechaalta	0.00597505027307489	0.00366379855868778	0.00846521899153478
ctrx_quarter_lag2	0.00576629794191576	0.00389771183477878	0.0026581605528974
cproductos_delta2	0.00574328591226935	0.00759802034432632	0.00226966016439701
cproductos_delta1	0.00559250670415304	0.00523338090615307	0.00169713327608064
mpasivos_margen_lag2/mrentabilidad_annual_lag1/mpayroll_delta2/internet_delta1/cpayroll_trx/cproductos_lag2/mrentabilidad_lag1/mpasivos_margen_lag1	0.00558269644702863	0.00455135379809457	0.000347605610763506
Visa_fechaalta/mactivos_margen	0.00554538581578164	0.00230680322101992	0.00654316443790128
mprestamos_personales	0.0054597521787208	0.0070606015189025	0.00294442399705558
cliente_antiguedad	0.00542241881442379	0.00276793648788924	0.00781090254774465
mrentabilidad_annual_lag2	0.0052448655463493	0.00403861945102371	0.00302621355252934
cliente_edad_lag1	0.00506807021056931	0.0052774171393453	0.00760642865906024
mrentabilidad_annual_lag1/Visa_fechaalta_lag1/cdescubierto_preacordado	0.00498412533522818	0.00408370464342604	0.00380321432953012
Visa_fechaalta	0.00479610543526534	0.00359939709094888	0.00813806076963972
mrentabilidad_annual_lag1/cproductos_lag1/cdescubierto_preacordado	0.00456079285433788	0.0024809690145733	0.00374187216292479
ctrx_quarter_lag2/ctrx_quarter	0.00435921569269518	0.00186157248429312	0.00443708338445181
mcomisiones/mcaja_ahorro	0.00422907851655127	0.00184520717802849	0.00415081994029362
cdescubierto_preacordado/mactivos_margen/cliente_edad_delta2	0.0041919124598795	0.00174711098083929	0.00251502883081831
cproductos_lag2/mcuenta_corriente_lag2	0.00409711477956046	0.00237491769584515	0.00363963521858259
mcomisiones	0.00403851463512714	0.00966707079002886	0.00547990021674232
mrentabilidad_annual_delta2/mpasivos_margen/mactivos_margen	0.00391279023471361	0.00222572330184044	0.00374187216292479
ctrx_quarter_delta2	0.00360408045769166	0.00182481109174035	0.00321024005234532
cliente_edad_lag2	0.00357971217382616	0.00351082945411378	0.00533676849466323
mrentabilidad	0.00340919506667081	0.00245910592797809	0.00476424160634687
ccomisiones_mantenimiento_delta2	0.00340536600307478	0.00499228842982118	0.00116550116550117
cliente_antiguedad_lag1	0.0033640178027078	0.00200815219320796	0.00480513638408375
mactivos_margen_lag1	0.00325560817496778	0.00441126683817283	0.00372142477405635
mrentabilidad_annual/cliente_edad_lag1	0.00305246974553285	0.00392425975831674	0.00310800310800311
mprestamos_personales_delta2/mprestamos_personales/mprestamos_personales/mprestamos_personales_lag1	0.00303125227290913	0.00528042672672604	0.00259681838629207
mcuentas_saldo/mrentabilidad_lag2	0.00297398550001	0.00252118117440989	0.00378276694066168
mrentabilidad_annual/Visa_fechaalta_delta1	0.0028768939162101	0.00336916442761567	0.00333292438555596
kmes/mrentabilidad_annual_lag1	0.00282094248556882	0.0012250378116244	0.00415081994029362
Master_fechaalta_lag1	0.00280527773533952	0.00197350414494612	0.00374187216292479
ctrx_quarter_lag1/mcaja_ahorro_delta1	0.00273560247556815	0.00108555863100969	0.0043348464401096
mcomisiones_lag2	0.0027346447258262	0.00197071051975569	0.00233100233100233
Master_mpagominimo	0.00272602293580529	0.00877938905848203	0.00327158221895064
mactivos_margen_delta2/mrentabilidad_annual_lag1/cproductos_lag1/cdescubierto_preacordado	0.00271609811075922	0.00559035715122072	0.00370097738518791
mrentabilidad_lag1/mpasivos_margen_lag1/ctrx_quarter_lag1	0.00268646797037263	0.00179105311622002	0.00366008260745103
ctarjeta_visa_transacciones_lag1	0.0026806686610075	0.00232910903010527	0.00163579110947532
Master_fechaalta_delta1/cdescubierto_preacordado/mactivos_margen	0.00263015948066218	0.00301443110415315	0.0030057661636609
mrentabilidad_annual_delta2/mpasivos_margen/mrentabilidad/cliente_antiguedad_lag2	0.00260127828224367	0.00147790331250258	0.0034965034965035
Visa_fechaalta_delta2/mrentabilidad_annual_lag2	0.00259507607409272	0.00178406519677627	0.0027603974972396
mrentabilidad_lag1/mrentabilidad/cliente_antiguedad_lag2/cliente_antiguedad_lag1/kmes_lag2	0.00259168406712732	0.00133564901774233	0.00380321432953012
mtarjeta_visa_consumo_lag1	0.00253789421788373	0.00205489566671449	0.00096102727681675
mrentabilidad_annual_lag1	0.00253648917940354	0.0015010143520404	0.00290352921931869
cliente_antiguedad_lag1/kmes_lag2	0.00249579431906733	0.00214150421796602	0.00470289943974155
mcuentas_saldo/ctarjeta_visa_transacciones_lag1	0.00248366827883272	0.00165190559182616	0.00128818549871181
chomebanking_transacciones	0.0024798226005902	0.00131168647013985	0.00394634605160921
kmes_delta1/mrentabilidad_annual_lag1/Visa_fechaalta_lag1/cdescubierto_preacordado	0.00246165840456565	0.00153780196857342	0.003844109107267
Master_fechaalta_lag2	0.00245860535288933	0.00238251647977008	0.00292397660818713
ccomisiones_mantenimiento/mpasivos_margen/Master_fechaalta_lag2	0.00241301632011799	0.00114785755256717	0.00200384410910727
mrentabilidad_annual/cliente_edad_lag1/Master_fechaalta_delta1	0.00240407769269244	0.00388626275351796	0.00306710833026623
mcuentas_saldo_delta1/mcomisiones/mcaja_ahorro/mrentabilidad_annual_lag1/mcaja_ahorro_delta1/mrentabilidad_lag1/mrentabilidad_lag1/mpasivos_margen_lag1/ccomisiones_mantenimiento	0.00239797907233804	0.00407123128434829	0.00235144971987077
mpasivos_margen_lag1	0.00239609878331908	0.00108383556124839	0.0016766858872122
mrentabilidad_delta2	0.00239141166256557	0.00147958627499996	0.00316934527460843
Visa_fechaalta_lag1	0.00238641944713708	0.00101999096744309	0.00343516132989817
mrentabilidad_annual_lag1/Visa_fechaalta_lag1	0.00238063137324882	0.00218668196559277	0.00321024005234532
mrentabilidad/cliente_antiguedad_lag2/mpayroll_sobre_edad	0.0023529471188903	0.00266034720984864	0.000552079499447921
mrentabilidad_annual/cliente_edad_lag1/ccomisiones_mantenimiento_lag2	0.00232466833633736	0.00311345285358655	0.003844109107267
kmes_lag2/Visa_fechaalta	0.00231076319476213	0.00124336374605967	0.00286263444158181
ctrx_quarter_delta1	0.00230596834427498	0.00233334497420959	0.00374187216292479
mactivos_margen/Visa_mpagominimo_lag1/ccomisiones_mantenimiento_lag1	0.00226714114449631	0.0012116651242827	0.000981474665685192
mcuentas_saldo_lag1	0.00224868375353327	0.00154181886531327	0.00267860794176584
mrentabilidad_annual_delta2/mpasivos_margen/mcuentas_saldo_lag2/mpasivos_margen_delta1	0.00223628241807842	0.00120058934909371	0.00247413405308142
mcuentas_saldo_delta2	0.00220962422868088	0.00293686828350164	0.00310800310800311
mrentabilidad_lag1/mactivos_margen_delta1/ctrx_quarter_delta1	0.00219661288958645	0.00214792138019252	0.00398724082934609
mrentabilidad_lag1/cdescubierto_preacordado_lag1	0.00219577539326378	0.00168275887588675	0.00361918782971415
mcaja_ahorro/mcomisiones_delta2/chomebanking_transacciones_delta1/kmes_delta1/ctrx_quarter_delta2/mcuentas_saldo_delta1/mcomisiones/mcaja_ahorro/mrentabilidad_annual_lag1/mcaja_ahorro_delta1/mrentabilidad_lag1/mrentabilidad_lag1/mpasivos_margen_lag1/ccomisiones_mantenimiento	0.00219569018106831	0.0037894237647938	0.00173802805381753
mcuentas_saldo_delta1/mcomisiones	0.00219472680794134	0.00310895312709264	0.00292397660818713
Master_fechaalta_lag1/cproductos_delta1	0.00217657118110106	0.00353645028282046	0.00173802805381753
mrentabilidad_annual_lag1/mcaja_ahorro_delta1/mrentabilidad_lag1	0.00213705519492434	0.00112345845282284	0.00294442399705558
Visa_fechaalta_lag1/mrentabilidad_annual_delta2	0.00213628932413928	0.00310179552307078	0.00321024005234532
mcuenta_corriente_lag1/mcuenta_corriente_lag1/mpasivos_margen_delta2	0.00213587566999433	0.0012280088343283	0.00294442399705558
mrentabilidad_annual_delta1/mrentabilidad_annual/ctrx_quarter_lag2/Master_fechaalta_lag2	0.00213343716464636	0.000998857524533733	0.00261726577516051
Master_fechaalta_delta2/mactivos_margen_delta2	0.00212339610373607	0.000864242120962326	0.00269905533063428
mrentabilidad_annual_lag1/mcaja_ahorro_delta1/mcaja_ahorro	0.00208286947173441	0.000647318898900792	0.00212652844231792
mcomisiones_lag2/Master_fechaalta	0.00206294236944208	0.00109673621694555	0.00288308183045025
mrentabilidad/cliente_antiguedad_lag2	0.00205978939555295	0.00158459480486631	0.00257637099742363
mrentabilidad_annual_lag1/mcaja_ahorro_delta1	0.00205097140818185	0.000933257466638589	0.00323068744121376
kmes/mrentabilidad_annual_lag1/cliente_edad	0.00204043586410349	0.00112238635480663	0.00347605610763506
ccomisiones_mantenimiento/mtarjeta_visa_consumo_lag1/mrentabilidad_annual_lag1	0.00201364678309447	0.0011079724211902	0.00151310677626467
cdescubierto_preacordado_lag1/chomebanking_transacciones	0.00198579614182001	0.000832558925056096	0.00233100233100233
mrentabilidad_annual_delta1/mrentabilidad_annual/ctrx_quarter_lag2	0.0019674743465558	0.00131153838178078	0.00280129227497649
mrentabilidad_lag1/mactivos_margen_delta1/ctrx_quarter_delta1/mrentabilidad_delta2	0.00195757153101085	0.00162034271771167	0.00298531877479246
mrentabilidad_annual_delta1/Visa_mpagominimo	0.00194711494504921	0.00138510281673731	0.00157444894287
mcomisiones_delta2/cproductos_lag1	0.00193687466178027	0.00111113780986539	0.00237189710873921
Visa_mpagominimo_lag2/Visa_fechaalta_lag2	0.00192919549708635	0.00362686439638276	0.00210608105344947
kmes/cdescubierto_preacordado_lag1/chomebanking_transacciones	0.00191796210554417	0.00563221370887784	0.00321024005234532
mrentabilidad_lag1/cdescubierto_preacordado_lag1/mrentabilidad_annual_lag1/mcuentas_saldo_lag2/mrentabilidad_annual_lag1	0.00189653124685289	0.0014825958623807	0.00218787060892324
ccomisiones_mantenimiento_lag1/mactivos_margen_lag1	0.00188404910919626	0.00265997390377681	0.0027603974972396
ccallcenter_transacciones	0.0018822257785176	0.00242410616986346	0.00139042244305402
mcuenta_corriente_delta1/mrentabilidad_lag2	0.00187290391642979	0.00195659430544449	0.00286263444158181
ccomisiones_mantenimiento/mactivos_margen_lag1/Visa_mpagominimo_lag1/ccomisiones_mantenimiento_lag1/ctrx_quarter_lag1/mrentabilidad_annual_delta1/ccomisiones_mantenimiento_lag2	0.00185572110571192	0.00178785533321629	0.00153355416513311
mcuentas_saldo_delta1/mcomisiones/mrentabilidad	0.00185044631926377	0.0019230569198757	0.00296487138592402
mrentabilidad_annual_delta1/mrentabilidad_annual	0.00184121415418254	0.00096768955271011	0.00271950271950272
Visa_fechaalta_lag2	0.00182596320192961	0.00136224013371836	0.00288308183045025
mactivos_margen/mrentabilidad_annual_delta2/mpasivos_margen/mcuentas_saldo_lag2/mpasivos_margen_delta1/cliente_edad_lag2/mpasivos_margen/mactivos_margen_delta1	0.00181799230319778	0.00580131673165542	0.00237189710873921
mrentabilidad/Visa_mpagominimo_lag1/mrentabilidad_annual/cliente_edad_lag1/mtarjeta_visa_consumo_delta2/mactivos_margen_delta2	0.00181571113718907	0.00178894285710323	0.00200384410910727
mprestamos_personales/cliente_antiguedad_lag2	0.00180883623623097	0.00132761830943678	0.00067476383265857
mpasivos_margen_delta2/mactivos_margen_delta2	0.00179733859343162	0.000905802501901304	0.00302621355252934
mrentabilidad_annual_lag2/mactivos_margen_delta1	0.00179723948746604	0.00120982636049088	0.0026581605528974
ctrx_quarter_delta1/mpasivos_margen_lag2/mrentabilidad_annual_lag1/mactivos_margen_delta2	0.00178547718810919	0.000905419940307032	0.0027603974972396
mrentabilidad_lag1/mactivos_margen_delta1/mcomisiones	0.00178418052480026	0.00188173563993314	0.00263771316402895
mcuentas_saldo_delta1/mcomisiones/cliente_edad_lag2/mpasivos_margen/mactivos_margen_delta1	0.00176327156712191	0.00147807145449361	0.00214697583118636
chomebanking_transacciones_lag1/Visa_fechaalta_lag2	0.00175904372754144	0.0014017457886752	0.00253547621968675
mrentabilidad_lag1/cdescubierto_preacordado_lag1/cproductos_lag1/mcuentas_saldo/mcuenta_corriente_lag1/mcuenta_corriente_lag1	0.00175366499740417	0.00302277187246051	0.0027603974972396
