Feature	Gain	Cover	Frequency	pos
ctrx_quarter/cproductos_lag2/ccomisiones_mantenimiento	0.0925920688945629	0.0418467057303353	0.0215736040609137	1
ctarjeta_visa_transacciones_delta2_-_ctrx_quarter_lag2	0.0761096288588811	0.0120830964866917	0.00634517766497462	2
ctrx_quarter_lag1_+_kmes_delta1	0.0645085015993309	0.00438290943126889	0.00253807106598985	3
mpayroll/mtarjeta_master_consumo/cliente_antiguedad_+_mrentabilidad_annual	0.0468061887399721	0.0227985371781557	0.00888324873096447	4
mtarjeta_visa_consumo_+_mpasivos_margen_lag1/mrentabilidad_annual_delta2	0.0461921218027119	0.031424741178264	0.0228426395939086	5
mpasivos_margen_lag2_+_mpayroll/mtarjeta_master_consumo/cliente_antiguedad	0.0407281650422019	0.0214387169109214	0.0101522842639594	6
mcaja_ahorro_-_cliente_edad_delta1	0.036648834656743	0.00847376736459852	0.00380710659898477	7
mprestamos_personales_delta1/mprestamos_personales_+_cpayroll_trx_lag2	0.0214022734389479	0.0462944363477322	0.0190355329949239	8
mpayroll/mtarjeta_master_consumo/cliente_antiguedad_-_mpayroll_sobre_edad_delta2/cdescubierto_preacordado_lag1	0.0203927481034135	0.0107247008609108	0.0050761421319797	9
mprestamos_personales/mcaja_ahorro_delta2_+_mprestamos_personales_delta2/ctarjeta_visa_transacciones	0.0195701798412364	0.00510164104449013	0.00253807106598985	10
mrentabilidad_annual_delta1_-_Visa_mpagominimo	0.0188328428484494	0.0123081898363229	0.0139593908629442	11
mtarjeta_visa_consumo_-_Visa_mpagominimo/ctrx_quarter_lag1	0.0170612954183112	0.00863475184882845	0.0114213197969543	12
mrentabilidad_annual_lag2_+_mpayroll_lag1	0.0163093929920823	0.0207377933158672	0.0114213197969543	13
ccallcenter_transacciones_+_mcuenta_corriente_lag1/mpayroll_sobre_edad	0.0143667133090862	0.0151752807612144	0.0050761421319797	14
mcaja_ahorro_lag2_-_cdescubierto_preacordado_lag2	0.0125389148037961	0.00379382019030361	0.00126903553299492	15
cproductos_delta2/ctrx_quarter_lag2/cliente_edad	0.0124184843172222	0.0099489835895551	0.00761421319796954	16
cproductos_-_ccomisiones_mantenimiento_lag1	0.01198375342309	0.0038280115851843	0.0050761421319797	17
cproductos_lag1_+_mpayroll_sobre_edad/cliente_antiguedad_delta2	0.0119234831819229	0.00760402375732088	0.0050761421319797	18
Visa_fechaalta_lag1/ctrx_quarter_lag2_-_mcaja_ahorro_lag2	0.0103266590048489	0.00121949308407806	0.00253807106598985	19
kmes_lag1_-_mcaja_ahorro	0.0101359586820891	0.000500049150130141	0.00126903553299492	20
mtarjeta_visa_consumo_lag2/mtarjeta_visa_consumo_-_mpasivos_margen_lag1/Visa_fechaalta_lag2_+_Visa_fechaalta_lag1/ctrx_quarter_lag2	0.0099250227040821	0.0198644881049562	0.0177664974619289	21
cproductos_delta1/ccomisiones_mantenimiento_delta1_+_kmes_lag2	0.0092226561696852	0.0180480702519194	0.0101522842639594	22
mcaja_ahorro_lag1_-_mrentabilidad_delta2_-_mtarjeta_visa_consumo_lag2/mtarjeta_visa_consumo	0.0086077927418264	0.00865255986699548	0.0050761421319797	23
mtarjeta_visa_consumo_lag1/mrentabilidad_annual_delta1/cdescubierto_preacordado_lag1_-_mprestamos_personales	0.00843944684574212	0.000851935589110611	0.00126903553299492	24
mcuentas_saldo_-_ctarjeta_visa_transacciones_delta1	0.00815563278604886	0.003484672994924	0.00380710659898477	25
chomebanking_transacciones_delta1/ctrx_quarter_lag1_+_ccomisiones_mantenimiento_delta2/ccallcenter_transacciones	0.00790546538713385	0.00533599456356821	0.0050761421319797	26
mprestamos_personales/cliente_antiguedad_delta1	0.00767753363748313	0.00278659868277651	0.00253807106598985	27
cdescubierto_preacordado_-_cpayroll_trx_delta1/cliente_antiguedad_lag2	0.00692883940530981	0.0146987381950648	0.00634517766497462	28
mcuenta_corriente_lag1/mpayroll_sobre_edad/Visa_fechaalta_lag1/mactivos_margen_lag2/mtarjeta_visa_consumo/chomebanking_transacciones_delta2	0.00633204701374136	0.000851935589110611	0.00126903553299492	29
mrentabilidad_annual/mprestamos_personales/mprestamos_personales_lag2/kmes_lag2/mpayroll_lag2	0.00629687202889448	0.00144886035806938	0.00253807106598985	30
mcomisiones_delta1/mrentabilidad_+_chomebanking_transacciones_delta2	0.00621242231410724	0.00966476761960934	0.00888324873096447	31
ccallcenter_transacciones_lag2_+_mcuentas_saldo_delta1/mcuentas_saldo_lag1/mprestamos_personales/mcaja_ahorro_delta2	0.00573953375149064	0.000414570662928408	0.00126903553299492	32
mcuenta_corriente_lag1/mpayroll_sobre_edad/mcomisiones_lag2/Visa_fechaalta_lag1	0.00528101007412158	0.00758764038060721	0.00253807106598985	33
mcuentas_saldo/cproductos_delta2	0.00510486746581224	0.00128431427020605	0.00253807106598985	34
canarito78	0.0050366056735755	0.00591653595581332	0.00761421319796954	35
Visa_mpagominimo/ctrx_quarter_lag1/mpasivos_margen/mpayroll_sobre_edad_lag2	0.00494529574025352	0.0224701573231557	0.0126903553299492	36
ccomisiones_mantenimiento_lag2_-_mpasivos_margen_-_cpayroll_trx_delta2	0.00466890734910932	0.000945249604305836	0.00126903553299492	37
mcuentas_saldo_delta2_-_mpasivos_margen_-_Visa_mpagominimo_lag2	0.00447960974432452	0.00573418184978296	0.00380710659898477	38
mrentabilidad_-_cliente_antiguedad_delta1	0.00418235125355731	0.00583604371369836	0.0050761421319797	39
mrentabilidad_annual_lag1/ctrx_quarter_lag1_-_Visa_fechaalta_lag1/ctrx_quarter_lag2	0.00415867695343551	0.000884702342537942	0.00253807106598985	40
mpayroll_lag2_-_cliente_edad_lag2	0.00402755030876101	0.0125211737336006	0.00888324873096447	41
mcaja_ahorro/mcomisiones_delta1/ccomisiones_mantenimiento_lag1/mprestamos_personales_delta1/mprestamos_personales/mcaja_ahorro_delta2	0.00377448282839393	0.00324319626857911	0.00380710659898477	42
cproductos_lag2_-_mprestamos_personales_lag1	0.00351076370854171	0.003352893660488	0.00253807106598985	43
cliente_edad_+_mrentabilidad_annual_lag2	0.00347257913809389	0.00129428676037958	0.00253807106598985	44
mcomisiones_lag2/ccomisiones_mantenimiento_lag2_-_mprestamos_personales_delta2/ctarjeta_visa_transacciones	0.00345867870920161	0.00404242012391531	0.00253807106598985	45
mcomisiones_lag2/Visa_fechaalta_lag2_+_Master_mpagominimo_lag2/cliente_antiguedad_lag1	0.00336189651115849	0.000581966033698469	0.00126903553299492	46
chomebanking_transacciones_lag1_+_Visa_fechaalta_lag1/ctrx_quarter_lag2	0.00320325556974179	0.00139971022792839	0.00253807106598985	47
canarito222	0.00319209513443484	0.0132605626478956	0.00888324873096447	48
mcuenta_corriente_lag1/mpayroll_sobre_edad_-_mpayroll_delta2/cpayroll_trx_lag2	0.00318892933230269	0.00825579722223409	0.00380710659898477	49
mcuenta_corriente_lag1/mpayroll_sobre_edad/Master_fechaalta_delta1	0.00296573107602843	0.0059136866729066	0.00253807106598985	50
ccomisiones_mantenimiento_delta2/ccallcenter_transacciones_+_mrentabilidad_lag2	0.00288080399448745	0.00394696914654004	0.00253807106598985	51
mpasivos_margen_lag2_-_mcuentas_saldo_delta1/mprestamos_personales_lag1	0.00286052913584194	0.000769306384815602	0.00126903553299492	52
mactivos_margen_lag1_+_Visa_fechaalta_lag1	0.00273054024813734	0.00258287495494571	0.00253807106598985	53
mcuentas_saldo_lag2_-_ccomisiones_mantenimiento_lag1/mtarjeta_master_consumo_delta2	0.00268249884284019	0.00191899203767892	0.00380710659898477	54
mcaja_ahorro_delta1/mpasivos_margen_delta1/mrentabilidad_lag1_-_cpayroll_trx_lag2	0.00263101385903942	0.00761399624749441	0.00380710659898477	55
Visa_fechaalta_delta1/mactivos_margen_lag1/Visa_fechaalta_lag2	0.00260618907069816	0.00199449803470712	0.00380710659898477	56
cliente_edad_-_mtarjeta_visa_consumo_delta1	0.00260441258714736	0.00268687378104116	0.00380710659898477	57
ccomisiones_mantenimiento_lag1_-_mtarjeta_visa_consumo_lag1/mrentabilidad_annual_delta1/cdescubierto_preacordado_lag1	0.0025461854816287	0.000400324248394785	0.00126903553299492	58
