Feature	Gain	Cover	Frequency	pos
mpayroll_sobre_edad_lag1_+_ctrx_quarter/cproductos_lag2	0.332438879080924	0.0556512512519321	0.0219619326500732	1
mpayroll_sobre_edad/ctarjeta_visa_transacciones_lag1_+_mpasivos_margen_lag1	0.0605475318660819	0.0183755575242607	0.00732064421669107	2
Visa_mpagominimo/mpasivos_margen_lag1_-_mpayroll/mtarjeta_master_consumo/cliente_antiguedad	0.0436227969260559	0.0257392138291523	0.00878477306002928	3
mactivos_margen_lag1_-_mprestamos_personales	0.0320485520872867	0.00990918072203111	0.0117130307467057	4
mpayroll_delta2/ctrx_quarter_lag2_+_mtarjeta_visa_consumo	0.0285725769714666	0.022231253326441	0.0161054172767204	5
cdescubierto_preacordado_lag2/mpayroll/mtarjeta_master_consumo/cliente_antiguedad_-_mpayroll_delta1	0.0247461485837956	0.0226708111499751	0.00878477306002928	6
mtarjeta_visa_consumo_lag2/mtarjeta_visa_consumo/mcomisiones_lag2/Visa_fechaalta_lag1	0.0209770057552026	0.00812799379687838	0.0102489019033675	7
mrentabilidad_annual_lag2_-_Visa_fechaalta_delta1/cproductos_delta2/Visa_mpagominimo/ctrx_quarter_lag1	0.0197825686953362	0.00192402196258742	0.00439238653001464	8
mpayroll_sobre_edad/ctarjeta_visa_transacciones_lag1/ccomisiones_mantenimiento_-_mcomisiones_lag1	0.017186796210812	0.0337949398987572	0.0131771595900439	9
mprestamos_personales/cliente_edad_lag1	0.014212902031039	0.0154856986418769	0.0102489019033675	10
mcuenta_corriente_lag1/mpayroll_sobre_edad/Master_fechaalta_delta1_-_mcomisiones_delta2	0.0128017522850699	0.0231052677221722	0.00878477306002928	11
kmes_delta2_-_mcaja_ahorro/cproductos_lag1/mcuentas_saldo_lag2	0.0127749207710338	0.00578821985032929	0.00585651537335286	12
ctrx_quarter/cproductos_lag2/mpasivos_margen_delta1/mrentabilidad_lag1_-_cproductos_delta1/ccomisiones_mantenimiento_delta1	0.0123821270092844	0.0246288414548089	0.0131771595900439	13
ccomisiones_mantenimiento_delta1/ctrx_quarter_lag2_-_ccomisiones_mantenimiento_lag1	0.0114964047669084	0.0041422160856058	0.00439238653001464	14
mcuenta_corriente/mpasivos_margen_lag1_-_mtarjeta_visa_consumo_lag1/mrentabilidad_annual_delta1	0.0110840896345708	0.00421193318721082	0.00585651537335286	15
mcuenta_corriente_delta1_+_ccomisiones_mantenimiento_lag1/mprestamos_personales_delta1/mprestamos_personales/mcaja_ahorro_delta2	0.0110815249570606	0.00170806898932308	0.00292825768667643	16
mrentabilidad_annual_delta1_-_Visa_mpagominimo_lag1	0.0108875498158717	0.0112805671231153	0.00878477306002928	17
mcaja_ahorro_lag2/cproductos_lag2/mcaja_ahorro_lag2/mrentabilidad_annual_lag2_-_cliente_antiguedad_lag2/mactivos_margen_lag2	0.00716553626266748	0.0069938155829625	0.00585651537335286	18
cliente_edad_lag1_+_cdescubierto_preacordado_delta1	0.00652539762642501	0.0118757131124265	0.00878477306002928	19
Visa_fechaalta_lag2/ctrx_quarter/cproductos_lag2/ccomisiones_mantenimiento_-_mtarjeta_visa_consumo_lag1/mrentabilidad_annual_delta1	0.00640408605017313	0.000715025395729573	0.00146412884333821	20
mpayroll_lag2/ccomisiones_mantenimiento_-_mprestamos_personales	0.00624220329414277	0.00229556310162883	0.00585651537335286	21
mpasivos_margen_-_cpayroll_trx_delta2_+_Visa_status_lag1	0.00620822448816749	0.00224965183959625	0.00292825768667643	22
mcuenta_corriente_lag1/mpayroll_sobre_edad_+_Visa_mpagominimo/ctrx_quarter_lag1	0.00555696998025305	0.0087324920803073	0.00292825768667643	23
