Feature	Gain	Cover	Frequency	pos
ctrx_quarter_+_cpayroll_trx	0.189703015156296	0.0212542125615419	0.0104250200481155	1
mtarjeta_visa_consumo_-_internet_delta2	0.0605745216303686	0.0595837236815571	0.0513231756214916	2
cpayroll_trx_-_ctrx_quarter	0.050892539733553	0.0149968735368837	0.00721732157177225	3
mtarjeta_master_consumo_delta2/cpayroll_trx	0.0451962705481967	0.0201408651455184	0.00962309542902967	4
mactivos_margen_-_mpayroll_lag2	0.0422994933507436	0.0247562042752011	0.020850040096231	5
mpayroll_sobre_edad/cproductos	0.0348744101477998	0.0438874226161767	0.0256615878107458	6
mprestamos_personales_-_kmes_delta1	0.0329011690079186	0.0388705194165053	0.0200481154771451	7
kmes_-_ctrx_quarter	0.0318617475058367	0.00437219429170055	0.00400962309542903	8
kmes/ctrx_quarter	0.0304334416173755	0.00666199204903141	0.00561347233360064	9
mpayroll_delta2_-_mcaja_ahorro_lag2	0.0303454045904131	0.0292960846620618	0.0256615878107458	10
mpasivos_margen/kmes	0.0245811438461555	0.00527108001759822	0.00962309542902967	11
mrentabilidad_annual_lag1/ccomisiones_mantenimiento	0.0177595044946386	0.0114767893761151	0.0200481154771451	12
mtarjeta_master_consumo_-_ccomisiones_mantenimiento_delta2	0.0129043162627426	0.011623735348979	0.00721732157177225	13
mrentabilidad_annual/cliente_edad_lag1	0.0115208706790634	0.0171878247539096	0.0176423416198877	14
mcuentas_saldo_-_mcaja_ahorro_lag1	0.0113487135514027	0.018744216484514	0.0192461908580593	15
mcuenta_corriente_lag2/Visa_fechaalta_delta2	0.01070881141472	0.00621497622167043	0.0128307939053729	16
ccomisiones_mantenimiento_-_cproductos	0.0106441096485186	0.00239570476480039	0.00320769847634322	17
cliente_edad/cproductos	0.0105214947406142	0.0190787061164386	0.0176423416198877	18
mcuentas_saldo/ccomisiones_mantenimiento	0.00938224126802996	0.00321736663108485	0.00561347233360064	19
ccallcenter_transacciones_lag1_-_Master_fechaalta_lag2	0.00882375533059359	0.0113682346934588	0.0144346431435445	20
cliente_edad_lag2_-_chomebanking_transacciones_delta1	0.00876054109819925	0.00879337057435577	0.0120288692862871	21
mrentabilidad_annual_delta1_-_Master_fechaalta_delta2	0.00844749763946207	0.0119569011433103	0.0184442662389735	22
cproductos_+_cpayroll_trx	0.00823239274783052	0.00957046324166346	0.00641539695268645	23
cproductos_delta1/ctrx_quarter	0.0079688051971814	0.0127414955569804	0.00561347233360064	24
mprestamos_personales_lag1_-_mcuenta_corriente	0.00787180451824402	0.0187614263732278	0.0112269446672013	25
canarito21	0.00646176001263248	0.0139064726391453	0.0136327185244587	26
mrentabilidad_annual_lag1_-_cproductos_lag2	0.00619150765861124	0.0060614110608396	0.0112269446672013	27
cdescubierto_preacordado_lag1_-_chomebanking_transacciones_delta2	0.00618647050902047	0.0135719830072207	0.00962309542902967	28
mcomisiones_-_mrentabilidad_annual_lag1	0.00587515340008379	0.00340270389415654	0.00721732157177225	29
mrentabilidad_-_chomebanking_transacciones_lag1	0.00532027461447113	0.00556453068412838	0.00721732157177225	30
chomebanking_transacciones_delta2_-_ccomisiones_mantenimiento_delta2	0.00524188122681901	0.0112164346494191	0.00882117080994387	31
internet_lag1/cpayroll_trx	0.00500577064154541	0.0166168094719697	0.00721732157177225	32
canarito36	0.0047529728027625	0.00483862640376429	0.00882117080994387	33
cproductos/ccomisiones_mantenimiento	0.00461289723017486	0.00595726917016123	0.00320769847634322	34
ccallcenter_transacciones_delta2/cproductos	0.00457496142263633	0.0145944269084994	0.00561347233360064	35
mcaja_ahorro_lag2/ctrx_quarter	0.00454491970167049	0.00579046563339672	0.0104250200481155	36
mcomisiones_lag1_-_internet_delta2	0.00443701507055286	0.00447633618237893	0.00641539695268645	37
Visa_mpagominimo_lag1/cliente_edad	0.00432714358242999	0.00862921471277799	0.00962309542902967	38
Visa_fechaalta_delta2_-_Visa_fechaalta_lag2	0.00430347826757138	0.00452443561493801	0.00641539695268645	39
cproductos_delta2/cproductos	0.00426691750713272	0.0116400626792973	0.00481154771451484	40
mpasivos_margen_-_mcuenta_corriente	0.00420827934978453	0.012828427558945	0.00721732157177225	41
mprestamos_personales_delta1/ccomisiones_mantenimiento	0.0039598819731486	0.00605920466485066	0.00721732157177225	42
cdescubierto_preacordado_delta1_-_ctrx_quarter_delta1	0.00395794466430969	0.0108559095448249	0.00962309542902967	43
mtarjeta_visa_consumo_lag2_-_Master_status_delta2	0.00393548596331932	0.00186484588985936	0.00561347233360064	44
cproductos_+_cliente_edad	0.00389537422769256	0.00579090691259451	0.00481154771451484	45
canarito5	0.00387407838202048	0.00683717989055393	0.00641539695268645	46
ctrx_quarter/cliente_antiguedad	0.00376438359974463	0.00340667540693664	0.00320769847634322	47
ccomisiones_mantenimiento_lag1_-_cliente_edad_delta2	0.00364150596315256	0.00713680846585315	0.00641539695268645	48
mpayroll_sobre_edad_lag2/ccomisiones_mantenimiento_delta2	0.00355738361533072	0.00178188540067489	0.00320769847634322	49
mrentabilidad_annual_lag1_-_cproductos_delta1	0.00351541805229967	0.0084915356030676	0.00962309542902967	50
ctrx_quarter_delta1_-_ctarjeta_visa_transacciones_lag1	0.00330469542367435	0.00332901026812565	0.00641539695268645	51
Visa_mpagominimo_delta2/cdescubierto_preacordado_delta2	0.00320097509135907	0.00925406605684823	0.00721732157177225	52
canarito4	0.00317464724382082	0.00616334655552903	0.00801924619085806	53
canarito39	0.00312821612755951	0.00814998550397835	0.00561347233360064	54
cpayroll_trx_delta2_-_ccallcenter_transacciones_delta1	0.00297894302858844	0.0166260763351233	0.00801924619085806	55
cliente_antiguedad/ctrx_quarter	0.00291792546339745	0.0035289097447244	0.00561347233360064	56
canarito30	0.00291560401322115	0.00278138278366861	0.00641539695268645	57
cproductos_lag2_-_chomebanking_transacciones_lag1	0.00288229724532185	0.00158022080728499	0.00320769847634322	58
cproductos_lag1/cliente_edad	0.00287399826012403	0.00947294053895194	0.00962309542902967	59
canarito3	0.00283669725281772	0.00615849248435334	0.00561347233360064	60
canarito6	0.00260307612769664	0.00320854104712906	0.00481154771451484	61
chomebanking_transacciones_lag1/cliente_antiguedad	0.00254842577616937	0.00704060960073499	0.00801924619085806	62
canarito31	0.00254250562351335	0.00307615728779214	0.00721732157177225	63
mcuenta_corriente_lag2/kmes	0.0024573655025532	0.000463343157679207	0.00160384923817161	64
mactivos_margen_lag2_-_ccomisiones_mantenimiento_lag1	0.0023771911009576	0.00362201965545803	0.00400962309542903	65
mpayroll_sobre_edad_delta2/cpayroll_trx	0.00235016729354914	0.00730361200261767	0.00400962309542903	66
canarito24	0.00233509116520786	0.0126748623981141	0.00561347233360064	67
ctrx_quarter_delta2_-_cliente_antiguedad_lag1	0.00231706871414967	0.00167244815962304	0.00400962309542903	68
canarito1	0.00230588917154723	0.00434924777341549	0.00721732157177225	69
ctrx_quarter_+_cliente_antiguedad	0.00224822408598984	0.00370630398223586	0.00320769847634322	70
canarito29	0.00220498205962368	0.00254265073766437	0.00561347233360064	71
mactivos_margen_lag1/cliente_antiguedad	0.00217882869551192	0.00391591160118598	0.00481154771451484	72
cliente_edad_lag2_-_kmes_lag1	0.00217370527431826	0.00476713917372235	0.00641539695268645	73
canarito11	0.00212968366838469	0.0026229635516621	0.00400962309542903	74
mprestamos_personales_delta1/cproductos	0.00210889025895167	0.00857361353385648	0.00400962309542903	75
cliente_antiguedad/cliente_edad	0.00210834670844464	0.00864642460149179	0.00481154771451484	76
canarito17	0.00209164950534098	0.00335636957838862	0.00561347233360064	77
mrentabilidad_lag2_-_mpasivos_margen_delta1	0.00201573811381799	0.00303026425122201	0.00400962309542903	78
mpasivos_margen_delta1_-_kmes_lag2	0.00197737611127449	0.00289082002472046	0.00320769847634322	79
cpayroll_trx_+_ccomisiones_mantenimiento	0.00194040586032984	0.00472742404592128	0.00320769847634322	80
mcomisiones_delta1_-_mpayroll_sobre_edad_lag2	0.00188204524301956	0.0051942974371828	0.00481154771451484	81
Master_status_delta1_-_cpayroll_trx_lag1	0.00183955670223193	0.00136311144197245	0.00240577385725742	82
canarito9	0.00182975536139694	0.0028846421159514	0.00400962309542903	83
Visa_mpagominimo_lag2/ccomisiones_mantenimiento_lag1	0.0018054403560016	0.0046537304198904	0.00481154771451484	84
canarito16	0.00178503606516974	0.00134457771566528	0.00320769847634322	85
canarito23	0.00177774009561109	0.00229950589968224	0.00320769847634322	86
ctarjeta_visa_transacciones_lag2/ccomisiones_mantenimiento	0.00177120162630667	0.00362510860984256	0.00561347233360064	87
mtarjeta_visa_consumo_lag1_-_mpasivos_margen_delta2	0.00173883444750841	0.0052287172146104	0.00721732157177225	88
canarito26	0.00173287755739127	0.00284492698815033	0.00481154771451484	89
mcuenta_corriente_lag2/ctrx_quarter_lag1	0.00169403948759245	0.00207048199602937	0.00240577385725742	90
mrentabilidad_annual_-_mcaja_ahorro_delta2	0.00165256201922788	0.00108422298896934	0.00160384923817161	91
internet_delta2_-_ctarjeta_visa_transacciones_delta2	0.00164175050195932	0.0013737021427194	0.00240577385725742	92
canarito20	0.00162014629927752	0.00113717649270411	0.00240577385725742	93
canarito37	0.00155442949899906	0.00201708721309681	0.00320769847634322	94
mtarjeta_visa_consumo_lag2_-_mrentabilidad_annual_lag2	0.0015482624026677	0.0029362717820928	0.00400962309542903	95
mactivos_margen_lag1_-_cproductos_lag2	0.00154639537334783	0.000830046171042465	0.00240577385725742	96
canarito33	0.00153180668009379	0.00349051845451669	0.00320769847634322	97
mtarjeta_visa_consumo_delta1/Master_fechaalta_delta1	0.0015029919440893	0.00524283814893967	0.00801924619085806	98
cliente_antiguedad_-_cproductos	0.00146010997621964	0.00151623532360548	0.00400962309542903	99
cpayroll_trx_-_cproductos	0.00145443012521423	0.00645194315088351	0.00641539695268645	100
chomebanking_transacciones_lag2_-_ccomisiones_mantenimiento_lag1	0.00142395953968429	0.00163317431101976	0.00240577385725742	101
mtarjeta_master_consumo/Master_fechaalta_lag2	0.00142142978404011	0.0018286609956406	0.00240577385725742	102
Master_mpagominimo_lag1/kmes	0.00141920089945075	0.00557997545605102	0.00240577385725742	103
mcaja_ahorro_lag1/cproductos	0.00138336412152462	0.00142489052966301	0.00320769847634322	104
mpasivos_margen_lag1/ctrx_quarter_lag1	0.00137019652274287	0.000491143747139959	0.00160384923817161	105
Master_mpagominimo_delta2_-_ctrx_quarter_lag2	0.00136953629661054	0.00550716438841572	0.00320769847634322	106
ccomisiones_mantenimiento_lag1_-_chomebanking_transacciones_lag1	0.0013661301286441	0.00174834818164287	0.00240577385725742	107
canarito18	0.00133081697130932	0.00259692807899251	0.00481154771451484	108
canarito40	0.00131518496329796	0.00293803689888396	0.00320769847634322	109
mpasivos_margen_delta1/cliente_edad	0.0013054664210325	0.0018374865795964	0.00320769847634322	110
canarito28	0.00123981189161722	0.000989789240642344	0.00240577385725742	111
mpayroll_lag2_-_mcuentas_saldo_lag1	0.00123807468220675	0.00127000153123882	0.00240577385725742	112
cpayroll_trx_delta1/cproductos	0.00123430562087942	0.00437219429170055	0.00320769847634322	113
mcomisiones_delta1_-_Master_status_delta2	0.0011988156736545	0.0013308980605338	0.00240577385725742	114
mtarjeta_master_consumo_delta1/ccomisiones_mantenimiento	0.00119096542177065	0.000800921743988343	0.00160384923817161	115
cliente_antiguedad/ccomisiones_mantenimiento	0.00116931928604457	0.00184631216355219	0.00240577385725742	116
mpayroll_sobre_edad_delta1/internet_lag2	0.00116387676578756	0.0013392823652918	0.00320769847634322	117
mcaja_ahorro_delta2_-_cdescubierto_preacordado_lag1	0.00114516248970772	0.00172981445533571	0.00240577385725742	118
ccomisiones_mantenimiento/cliente_antiguedad	0.00113507844057661	0.00238202510966891	0.00240577385725742	119
Master_fechaalta_lag1/ccomisiones_mantenimiento	0.00111402732129754	0.00316750208173462	0.00240577385725742	120
canarito12	0.00105637417379129	0.00336343004555325	0.00400962309542903	121
canarito19	0.0010518130726107	0.0067228885783264	0.00801924619085806	122
Master_mpagominimo_lag1_-_cpayroll_trx_lag2	0.00103257546781497	0.00427467158898903	0.00240577385725742	123
canarito32	0.00102398738137171	0.00392032439316388	0.00721732157177225	124
canarito27	0.000995633011402115	0.00290670607584089	0.00400962309542903	125
mpayroll_delta2_-_cliente_edad_lag1	0.000956690212964457	0.00231583323000045	0.00320769847634322	126
canarito35	0.000940707050634938	0.00358539348204148	0.00400962309542903	127
Visa_status_lag2_-_cproductos_lag1	0.00094061175457519	0.00111864276639694	0.00160384923817161	128
cliente_edad_+_ctrx_quarter	0.000930876635744544	0.0008543165269209	0.00240577385725742	129
mtarjeta_visa_consumo_lag2/chomebanking_transacciones_delta2	0.000916429086368803	0.00155948068498887	0.00240577385725742	130
Master_fechaalta_delta2_-_ccomisiones_mantenimiento_delta2	0.000837857783009105	0.00153212137472591	0.000801924619085806	131
ctrx_quarter/cpayroll_trx	0.000828306525773352	0.00533506550127772	0.00641539695268645	132
mpayroll_sobre_edad_delta1/cliente_edad	0.00078702355965752	0.00767472780795882	0.0104250200481155	133
mpayroll/internet_delta2	0.000779652524454108	0.000571015281939899	0.00160384923817161	134
canarito13	0.000768178339288159	0.00125543931771176	0.00240577385725742	135
canarito34	0.0007646101120948	0.00308101135896783	0.00240577385725742	136
mcuenta_corriente_-_mcomisiones_lag1	0.000761770990591515	0.00192000578958308	0.00240577385725742	137
canarito7	0.000753078027803484	0.000797391510406025	0.00160384923817161	138
cpayroll_trx_+_kmes	0.000752040014115659	0.00272401648795595	0.00240577385725742	139
canarito22	0.000748602274787779	0.000589549008247067	0.00160384923817161	140
mtarjeta_visa_consumo_delta1_-_internet_lag2	0.000706093864691949	0.00130839282144652	0.000801924619085806	141
mrentabilidad_lag1/ccallcenter_transacciones_lag1	0.000701391924718427	0.00191515171840739	0.00240577385725742	142
ccomisiones_mantenimiento_-_cliente_antiguedad	0.000664163072046378	0.00178938714703732	0.00160384923817161	143
cproductos_+_kmes	0.000652720336720752	0.00111158229923231	0.00240577385725742	144
cliente_antiguedad_+_cliente_edad	0.000637937169470208	0.000605876338565287	0.00160384923817161	145
Visa_mpagominimo_lag2/kmes_delta2	0.000617211193943002	0.0022408157663762	0.00320769847634322	146
ccomisiones_mantenimiento_-_kmes	0.000608933451267555	0.00162876151904186	0.00160384923817161	147
kmes_delta2/cproductos	0.00059822784856412	0.00128677014075483	0.00160384923817161	148
mactivos_margen_delta1/cpayroll_trx	0.000596235905596064	0.00113099858393505	0.00320769847634322	149
canarito2	0.000577690197072906	0.00152947369953917	0.00320769847634322	150
ctarjeta_visa_transacciones_delta2_-_kmes_lag2	0.000525757620384656	0.000340226261495875	0.000801924619085806	151
Visa_mpagominimo_delta1/cliente_edad_lag2	0.000525156338836709	0.00206827560004042	0.00320769847634322	152
Visa_mpagominimo_delta1_-_cpayroll_trx_lag1	0.000499885231794238	0.000620879831290137	0.00160384923817161	153
mpasivos_margen_lag1_-_mcomisiones_lag1	0.000489223704112414	0.000241379721190977	0.000801924619085806	154
ccallcenter_transacciones_lag2_-_cdescubierto_preacordado_lag1	0.00048095983859898	0.0019319203279234	0.00160384923817161	155
cliente_edad_+_ccomisiones_mantenimiento	0.000477783629809822	0.00125058524653607	0.00160384923817161	156
mrentabilidad_annual_lag2_-_mcaja_ahorro_delta1	0.000438782404208651	0.000295215783321323	0.000801924619085806	157
mtarjeta_visa_consumo_delta1/cliente_antiguedad_lag2	0.0004334856671032	0.00131942480139127	0.00240577385725742	158
Visa_mpagominimo_lag2/ctrx_quarter	0.00040320223102631	0.000499528051897964	0.00160384923817161	159
canarito25	0.000400659974153671	0.000393621044428431	0.000801924619085806	160
mpasivos_margen_lag2_-_cpayroll_trx_lag1	0.000362088604520219	0.000972138072730755	0.00240577385725742	161
canarito14	0.000348405318641875	0.00041038965394444	0.000801924619085806	162
mcuentas_saldo_lag2_-_ctarjeta_visa_transacciones_lag1	0.000340587028276434	0.000247557629960033	0.000801924619085806	163
canarito15	0.000316986970593745	0.00134457771566528	0.000801924619085806	164
mpayroll_sobre_edad_lag1_-_cliente_edad_lag1	0.000309268317049705	0.00441279197789721	0.00801924619085806	165
cdescubierto_preacordado_delta1_-_kmes_lag1	0.000289197819332646	0.00053791934210567	0.000801924619085806	166
cproductos_-_ccomisiones_mantenimiento	0.000284305952495386	0.0005538053932261	0.000801924619085806	167
cliente_antiguedad_lag1_-_cliente_edad_delta1	0.000282526868524659	0.000341550099089244	0.000801924619085806	168
mtarjeta_master_consumo_-_kmes_lag1	0.000279752752012612	0.000834017683822572	0.00160384923817161	169
ctarjeta_visa_transacciones_lag1_-_cpayroll_trx_delta1	0.000273717595346282	0.00108510554736492	0.00240577385725742	170
mtarjeta_visa_consumo_lag1_-_mcuentas_saldo_delta2	0.000201826781828022	0.00330606374984059	0.00400962309542903	171
canarito8	0.000199668869063157	0.000267415193860571	0.000801924619085806	172
canarito38	0.000191595295024791	0.00195619068380183	0.00240577385725742	173
mpayroll_sobre_edad_delta1/kmes	0.000177684717855834	0.00179556505580637	0.00240577385725742	174
canarito10	0.000128373453310813	0.000278005894607524	0.000801924619085806	175
