Feature	Gain	Cover	Frequency
kmes_+_ctrx_quarter	0.0659110894676122	0.00257047765481594	0.00231350330500472
ctrx_quarter	0.0399096636331811	0.00157676127704235	0.00169971671388102
ccomisiones_mantenimiento/ctrx_quarter	0.0212505694911483	0.00320966093568592	0.0029508970727101
mcuentas_saldo	0.0191111578852285	0.00647096634576859	0.00519357884796978
cpayroll_trx/ccomisiones_mantenimiento	0.0173715108769	0.00309500664833649	0.000708215297450425
mtarjeta_visa_consumo	0.0124346950006009	0.00241272034810849	0.00232530689329556
ccomisiones_mantenimiento/cpayroll_trx	0.010221030799701	0.00144301254234149	0.000401322001888574
mcuenta_corriente/cliente_antiguedad	0.0099102975007959	0.0110194072629507	0.00762511803588291
foto_mes	0.00967315612042298	0.00700863749405455	0.00620868744098206
cliente_edad/ctrx_quarter	0.00951501867699671	0.00144258175688078	0.00213644948064212
ctrx_quarter_+_cliente_edad	0.00867555475565	0.00227052888583085	0.00336402266288952
Visa_status	0.00836911080743918	0.00812011014822137	0.00211284230406043
cdescubierto_preacordado	0.00758565900315193	0.0100433647694986	0.00238432483474976
numero_de_cliente	0.00747100714495004	0.0171068377207622	0.0129721435316336
mcaja_ahorro	0.00730107668360495	0.00151519566608935	0.00247875354107649
mcaja_ahorro/cliente_antiguedad	0.00709040990962538	0.00332064005850121	0.00365911237016053
Master_fechaalta	0.00646000458719502	0.0076095923892369	0.00945467422096317
ctarjeta_visa_transacciones	0.00637528832492728	0.00319987356788798	0.00219546742209632
mcuentas_saldo/kmes	0.00623866596170712	0.00582461600737238	0.00457979225684608
Visa_mpagominimo	0.00573244714630186	0.00222570300273549	0.00334041548630784
mcaja_ahorro/Master_fechaalta_lag1	0.00568148567557214	0.00364776891491835	0.00448536355051936
mcaja_ahorro/ctrx_quarter	0.00544444621424491	0.00466316000311924	0.00626770538243626
cliente_antiguedad_delta1/ctrx_quarter	0.005382933303942	0.00127590171245761	0.00179414542020774
mprestamos_personales/cliente_edad	0.00519518931544566	0.00529960171970791	0.00179414542020774
mtarjeta_visa_consumo/cliente_edad	0.00483050928237683	0.002321696687355	0.00199480642115203
mrentabilidad_annual_lag2	0.00480148679374464	0.00334011439800198	0.00330500472143532
mcuenta_corriente_lag1/kmes	0.00469727236808768	0.00703189462492826	0.00513456090651558
mcomisiones_lag1/Visa_fechaalta_lag1	0.00469669823953742	0.00767594753356915	0.00648016997167139
mrentabilidad_annual_lag2/Master_fechaalta_lag1	0.00468871616451128	0.00579771124441168	0.00619688385269122
cproductos_+_cpayroll_trx	0.00461675430329558	0.0036399463626659	0.00208923512747875
Master_fechaalta_lag2/ctrx_quarter	0.00460886725859905	0.00345021971325267	0.00526440037771483
mprestamos_personales	0.00456732887450186	0.0040699634178127	0.00148725212464589
mpasivos_margen/ctrx_quarter	0.00455092994348848	0.003527795581267	0.00626770538243626
Visa_fechaalta	0.00450079583704484	0.00840477507178063	0.0074480642115203
mcuenta_corriente_delta2/ccomisiones_mantenimiento_lag2	0.00449384189812038	0.00220575421520632	0.00422568460812087
Master_fechaalta_lag2	0.00445801758193009	0.00536659873159557	0.00558309726156752
mrentabilidad_annual_lag2/cdescubierto_preacordado_lag2	0.00438829256015252	0.00235242651372868	0.00339943342776204
mcomisiones/ccomisiones_mantenimiento	0.00432386534374294	0.00627344996055506	0.00717658168083097
cliente_edad/cproductos	0.00422257604968242	0.00632763020114343	0.00682247403210576
ccomisiones_mantenimiento_-_cproductos	0.00421485679418874	0.0020124583594646	0.00194759206798867
mpasivos_margen_delta2/chomebanking_transacciones_delta1	0.00420612490340172	0.00316946968119149	0.00614966949952786
mtarjeta_master_consumo/cpayroll_trx	0.00416381243215895	0.000483205849532816	0.000330500472143532
kmes_delta2/cliente_edad	0.00410256321571353	0.00730142671436263	0.00515816808309726
mprestamos_personales/cproductos	0.00402452044231123	0.00871853038963421	0.00245514636449481
ctrx_quarter_delta2	0.00400567451590569	0.00401377664584984	0.00383616619452314
mactivos_margen	0.00398618389609812	0.00694151811573518	0.00487488196411709
Visa_fechaalta_lag2/cproductos	0.00392738178516285	0.00473774762725016	0.00502832861189802
mpasivos_margen_lag1/ctrx_quarter_lag1	0.00387903595593693	0.00367957806884079	0.00607884796978281
Visa_mpagominimo/ctrx_quarter	0.00385132380562831	0.00337644693831472	0.00507554296506138
chomebanking_transacciones	0.00384551437931193	0.00242921367446955	0.00487488196411709
cliente_edad_-_ccomisiones_mantenimiento	0.00381562950280791	0.00884602786830795	0.00657459867799811
cproductos/cliente_edad	0.00375421778437629	0.00696884476477975	0.00638574126534467
mcuentas_saldo/ccomisiones_mantenimiento	0.00371214091715954	0.00374232451585976	0.00462700661000944
mactivos_margen/ctrx_quarter_delta2	0.00370539037855383	0.00358397067279774	0.0056657223796034
mpasivos_margen_lag1/chomebanking_transacciones_lag1	0.00368212743496926	0.00313020062462329	0.00520538243626062
Visa_mpagominimo/cliente_edad	0.00368130801363667	0.00348408990723282	0.00334041548630784
mcuentas_saldo_lag1/chomebanking_transacciones_lag1	0.00367210867027226	0.00240772362611191	0.00456798866855524
ctrx_quarter_lag1/ctrx_quarter	0.0036665453168824	0.00441024889048264	0.00555949008498584
cliente_edad_lag2/cproductos	0.00365365514101168	0.00445094601892997	0.00570113314447592
cpayroll_trx_-_cliente_edad	0.00364616362272651	0.00652639583638249	0.00568932955618508
cdescubierto_preacordado_lag1/cliente_edad	0.00356810753717568	0.00358228590951754	0.00540604343720491
mrentabilidad_annual/cliente_edad_lag1	0.0035490761368507	0.00804490234876612	0.00447355996222852
mrentabilidad/ctrx_quarter	0.00353751971157934	0.0035738426257297	0.0044971671388102
mrentabilidad_annual_delta2/ctrx_quarter_lag2	0.00351515715598457	0.00719528273423295	0.00498111425873466
mrentabilidad/cliente_antiguedad	0.00347334691937011	0.00484445588349333	0.00454438149197356
mcaja_ahorro_lag2/chomebanking_transacciones_lag2	0.00344280156960757	0.00310660281447949	0.00450897072710104
cliente_edad_lag1	0.00343519370430529	0.00524038804719344	0.00481586402266289
mrentabilidad_annual_lag2/cliente_antiguedad	0.00340857891909464	0.00489931303293346	0.0051699716713881
kmes_lag2/cliente_antiguedad	0.00340592383271964	0.00510902879517721	0.0052289896128423
mactivos_margen_lag1	0.00339618316224809	0.00670723312074319	0.00440273843248348
mpayroll_sobre_edad/cpayroll_trx	0.00339201734595161	0.00166104421604189	0.00086166194523135
ctarjeta_visa_transacciones_lag1/ctrx_quarter	0.0033688156879476	0.00219020700384679	0.00374173748819641
mactivos_margen_lag1/chomebanking_transacciones_delta2	0.00333644356618739	0.00287990314772575	0.00435552407932011
mrentabilidad_annual_lag1/kmes	0.00333138600507266	0.00427108822223398	0.00495750708215298
mtarjeta_visa_consumo/ctarjeta_visa_transacciones_lag2	0.00332635817611163	0.00382129146771819	0.00389518413597734
mcomisiones_delta1/ctrx_quarter_delta2	0.00331491750958769	0.00401030922614409	0.00570113314447592
mcaja_ahorro/Master_fechaalta_delta2	0.00329721766828106	0.00156270804857176	0.00313975448536355
mcuentas_saldo_delta2/kmes_delta2	0.00328741453609631	0.00385197095699155	0.0033876298394712
mcuentas_saldo_lag1/ctrx_quarter	0.00327842093159738	0.00344885532753913	0.00485127478753541
cliente_edad_+_cliente_antiguedad	0.00323525146643402	0.0118839099728459	0.00593720491029273
mrentabilidad_delta2/ctrx_quarter_lag2	0.00321130480557972	0.00432749914725128	0.00474504249291785
kmes/cliente_edad	0.00320618217824683	0.00674122178767767	0.00613786591123702
mcuenta_corriente_lag2/ctrx_quarter	0.00320091070960451	0.00834214848824362	0.00440273843248348
Visa_fechaalta_delta1/cproductos	0.003197618229138	0.00234176923184351	0.00328139754485364
cliente_antiguedad_delta2/cliente_edad	0.00313447364513592	0.00546452997741896	0.00403682719546742
mcuentas_saldo_lag2/ctrx_quarter_delta1	0.00312550753319482	0.00370826548822705	0.00470963172804533
mrentabilidad_annual_delta1/cliente_antiguedad_lag1	0.00312378701365207	0.00453731419316803	0.00441454202077431
cliente_antiguedad_lag2/cpayroll_trx	0.00309225402539887	0.0016624761813984	0.000531161473087819
mrentabilidad_annual_lag1	0.00308239267548088	0.00277279775679059	0.00422568460812087
kmes/cliente_antiguedad	0.00305365550337972	0.00579785752791868	0.00475684608120869
mrentabilidad_annual/cliente_edad	0.00304012373508584	0.0062827890222441	0.00463881019830028
mrentabilidad	0.00297333869101389	0.00408005392063464	0.00407223796033994
mpasivos_margen/Master_fechaalta_delta2	0.00296372825122701	0.00189605673509149	0.00357648725212465
mpasivos_margen_delta2/ctrx_quarter	0.00296147128846537	0.00215437978127591	0.00395420207743154
cliente_antiguedad_lag2/cliente_edad	0.00294785273576778	0.00355807376426547	0.00370632672332389
mrentabilidad_lag2/kmes	0.00293721726124634	0.00635052217946069	0.00421388101983003
mrentabilidad_annual_delta2/chomebanking_transacciones_delta1	0.0029260863773044	0.00195551931205227	0.00432011331444759
kmes_lag1/cliente_antiguedad	0.00291491039020877	0.00505138947804888	0.00498111425873466
Visa_fechaalta_lag1	0.00289659354189225	0.00348582500761333	0.00435552407932011
mrentabilidad/Visa_fechaalta_lag1	0.00286166931704246	0.00291801445098668	0.00360009442870633
ccomisiones_mantenimiento_lag2/cliente_edad	0.00285007430000005	0.00344436753865625	0.00330500472143532
mcuentas_saldo_delta2/chomebanking_transacciones_delta2	0.00284712767454002	0.00215550249328682	0.00492209631728045
mcomisiones_delta2/ctrx_quarter	0.00284514292397252	0.00418042804540377	0.0040604343720491
ctrx_quarter/cliente_antiguedad	0.00283313701898489	0.00370080920095315	0.0038243626062323
cliente_edad_-_cliente_antiguedad	0.00280974418558963	0.00872222835882152	0.00512275731822474
mtarjeta_visa_consumo_lag2/chomebanking_transacciones_delta2	0.00280141854405514	0.00233096427592371	0.00354107648725213
mcuenta_corriente_delta1	0.00278941268662014	0.00566308286193017	0.004438149197356
mrentabilidad_annual/ccomisiones_mantenimiento	0.002777441510917	0.00181749609540744	0.00356468366383381
mcomisiones/cliente_antiguedad	0.00277701631129355	0.0023382019722537	0.00423748819641171
mcomisiones_lag1/ctrx_quarter	0.00276579694639867	0.0020307654900702	0.00423748819641171
cproductos_delta1/ctrx_quarter	0.0027549988459066	0.00295846879330928	0.00131019830028329
mrentabilidad_annual/kmes	0.00274284746976367	0.00876701614145974	0.00515816808309726
Visa_mpagominimo_lag1/cliente_edad	0.00273203060395289	0.00366588025923321	0.00335221907459868
ctrx_quarter_delta2/cliente_antiguedad	0.00271690684487153	0.00460967168908107	0.00401322001888574
mtarjeta_visa_consumo_lag1/ccomisiones_mantenimiento	0.00270937093084278	0.00158734041127454	0.00190037771482531
cliente_antiguedad/cliente_edad	0.00268388699229417	0.00405966489205685	0.00428470254957507
mcomisiones_lag2/ctarjeta_visa_transacciones_lag1	0.00266053783282977	0.00150709778936556	0.00321057601510859
cproductos/kmes	0.00264720496225642	0.00292763300872996	0.00429650613786591
cliente_antiguedad/kmes	0.00264689894350591	0.00446697490906159	0.00428470254957507
mpasivos_margen_lag2/ctrx_quarter	0.00264322342764319	0.00301294605060007	0.00404863078375826
mcomisiones_lag2	0.00263778492855091	0.0017217079307721	0.00276203966005666
mpasivos_margen/cliente_antiguedad	0.00261918410307169	0.00272958989164903	0.00368271954674221
mactivos_margen/cproductos	0.00261904483095293	0.0033469029539065	0.00339943342776204
Master_fechaalta_lag1/ccomisiones_mantenimiento	0.00261647741950267	0.00629810874328287	0.00414305949008499
ctrx_quarter_lag2/cliente_edad	0.00261434378859636	0.0025650120469015	0.00349386213408876
cliente_edad/cliente_antiguedad	0.00260185055721122	0.00351038339424603	0.0038243626062323
mactivos_margen_lag2/cliente_edad_delta2	0.00259687243879539	0.00166412534717119	0.00375354107648725
mrentabilidad_annual_delta1	0.00259647869538586	0.00207712123166744	0.00362370160528801
mactivos_margen_lag1/cliente_antiguedad	0.00256914807160181	0.00417843514120009	0.00343484419263456
chomebanking_transacciones_delta1/ctrx_quarter	0.00256788294483049	0.00400964789120181	0.00372993389990557
cproductos_delta2/cproductos	0.00256078452416718	0.00643633720180633	0.00179414542020774
mrentabilidad_annual_delta2/cproductos	0.00253877160057425	0.00265603542954947	0.00331680830972616
ctrx_quarter_lag1/cproductos	0.00253546696994807	0.00401789677922655	0.0038243626062323
chomebanking_transacciones_lag2	0.00251360185091735	0.00216456623050453	0.00321057601510859
