Feature	Gain	Cover	Frequency	pos
ccomisiones_mantenimiento/cpayroll_trx	0.0933440171398217	0.109456797866815	0.0466760961810467	1
ctrx_quarter_-_ccomisiones_mantenimiento	0.0877988007899997	0.0109770403888051	0.00565770862800566	2
ctrx_quarter_+_cpayroll_trx	0.0845393177456166	0.0225107729475813	0.00848656294200849	3
cpayroll_trx_-_ctrx_quarter	0.0734910073353997	0.0102013217913043	0.00565770862800566	4
ccomisiones_mantenimiento/ctrx_quarter	0.0672488414182511	0.0211742139523153	0.0127298444130127	5
ctrx_quarter/cliente_edad	0.0570440672039679	0.00500110342859324	0.00282885431400283	6
mtarjeta_visa_consumo_-_mtarjeta_master_consumo_lag1	0.0431837772086226	0.050815790477992	0.0311173974540311	7
mprestamos_personales_delta2/cpayroll_trx	0.0385336675760744	0.0326108779807091	0.0127298444130127	8
mpasivos_margen/kmes	0.0281144616209782	0.0113619959280996	0.0155586987270156	9
mcaja_ahorro_lag2/cliente_edad	0.0249209235017258	0.0230276421307289	0.0254596888260255	10
mcaja_ahorro_-_cliente_edad_lag1	0.0217357576606833	0.0117867744542177	0.0099009900990099	11
chomebanking_transacciones_delta1/ctrx_quarter	0.0191344309982547	0.016839315907458	0.016973125884017	12
ccomisiones_mantenimiento_delta1/cpayroll_trx	0.0178661628857411	0.0294167425792353	0.016973125884017	13
mrentabilidad_annual/ccomisiones_mantenimiento	0.0166832356376245	0.00470574960965177	0.0113154172560113	14
Master_mpagominimo/cproductos	0.0166460562093914	0.0403655750190404	0.0183875530410184	15
mprestamos_personales_-_mtarjeta_visa_consumo_delta2	0.0156108545670869	0.0133025368901898	0.0127298444130127	16
cproductos_-_ccomisiones_mantenimiento	0.0143156334455079	0.00568804995129981	0.00848656294200849	17
mrentabilidad_annual/kmes	0.0138652550478656	0.0115611108622174	0.0198019801980198	18
mprestamos_personales_lag2_-_ctarjeta_visa_transacciones_lag1	0.0132976348935021	0.021619733617404	0.0155586987270156	19
mrentabilidad_annual_delta2/ccomisiones_mantenimiento_lag1	0.0128909402410756	0.0122165308536887	0.0183875530410184	20
mpasivos_margen_-_Master_status_delta1	0.0123521335722257	0.00358489845968006	0.00565770862800566	21
mcaja_ahorro_-_mtarjeta_master_consumo_delta2	0.0117205218157176	0.0023976756650024	0.00424328147100424	22
mrentabilidad_delta2_-_Visa_mpagominimo_delta2	0.0106735621185085	0.00914767193159738	0.0099009900990099	23
Visa_status_lag2_-_chomebanking_transacciones_delta1	0.0106726395416421	0.00940237311815646	0.0099009900990099	24
ctrx_quarter_-_cliente_antiguedad	0.00799239679951102	0.0122488870304828	0.0113154172560113	25
ctarjeta_visa_transacciones_delta1/cpayroll_trx	0.00783931303835999	0.00825912153809649	0.00565770862800566	26
cproductos_-_cpayroll_trx	0.00766041605569555	0.0134037536483663	0.00848656294200849	27
Visa_mpagominimo_delta1/cpayroll_trx	0.00640124750257527	0.0044037586262397	0.00707213578500707	28
mtarjeta_visa_consumo_delta2/cproductos	0.00619566551123235	0.0358796814824771	0.041018387553041	29
