Feature	Gain	Cover	Frequency	pos
mpayroll_-_mactivos_margen_lag1	0.132314783687382	0.121811406576595	0.0643185298621746	1
ccomisiones_mantenimiento_-_ctrx_quarter	0.0801541057958142	0.00553517157313896	0.00306278713629403	2
kmes/ctrx_quarter	0.0711158469336872	0.00972295509115526	0.00459418070444104	3
cliente_edad/ctrx_quarter	0.0602405121895168	0.0143205998208391	0.0122511485451761	4
mtarjeta_visa_consumo	0.0501765515051426	0.0472403905543762	0.0321592649310873	5
ctrx_quarter_+_cpayroll_trx	0.0413208929230818	0.0110989761650571	0.00612557427258806	6
mcomisiones_lag2/ccomisiones_mantenimiento	0.0396987787122941	0.0440359467098616	0.0275650842266463	7
mprestamos_personales	0.0394788457190283	0.0305767917111501	0.0229709035222052	8
ctrx_quarter_-_cpayroll_trx	0.0368040054096298	0.00435221885443382	0.00153139356814701	9
ctrx_quarter_-_ccomisiones_mantenimiento	0.0306460173360471	0.00435221885443382	0.00153139356814701	10
mcaja_ahorro	0.0263765133963714	0.00870443770886765	0.00306278713629403	11
ccomisiones_mantenimiento/ctrx_quarter	0.0214475316975341	0.0210804465114757	0.0137825421133231	12
mcaja_ahorro_lag2/cliente_antiguedad	0.0184498388704354	0.0092124692706352	0.00765696784073507	13
mpasivos_margen_lag2	0.0180322469453615	0.00577568893088398	0.00765696784073507	14
mpasivos_margen/kmes	0.0151720565164918	0.00527665631787559	0.00612557427258806	15
mcuentas_saldo	0.0151626357327611	0.00534701173544727	0.00765696784073507	16
mcuentas_saldo_-_mactivos_margen_lag1	0.0146875422070215	0.0074036805700425	0.00765696784073507	17
mrentabilidad_annual_lag2	0.0140522685354659	0.0129183999869106	0.0214395099540582	18
cproductos_-_ccomisiones_mantenimiento	0.0134650425277825	0.0150372433765692	0.0137825421133231	19
mcaja_ahorro/ccomisiones_mantenimiento	0.0123971535466243	0.0023765405586711	0.00459418070444104	20
Master_mpagominimo_lag1_-_mrentabilidad_annual_delta1	0.0117571614272235	0.0111955103426554	0.0183767228177642	21
ctrx_quarter_-_cliente_edad	0.0117285553762972	0.020789207806179	0.0107197549770291	22
ccomisiones_mantenimiento_delta2	0.0102697757509877	0.0110948857338029	0.00918836140888208	23
ccomisiones_mantenimiento_+_cpayroll_trx	0.00952567661732321	0.0283761396964082	0.0183767228177642	24
mcaja_ahorro_delta2/ccomisiones_mantenimiento	0.00738211279881399	0.00521366367656142	0.00765696784073507	25
ccomisiones_mantenimiento_delta1	0.00711325332331285	0.0135475083138015	0.00765696784073507	26
ctarjeta_visa_transacciones	0.00669990246735176	0.00451092758709551	0.00612557427258806	27
mcaja_ahorro_lag1	0.00662975458791922	0.00111423347363513	0.00306278713629403	28
mcaja_ahorro_lag2	0.00650559687854607	0.00266614309146613	0.00612557427258806	29
canarito61	0.0064917717326147	0.00415015155047797	0.0107197549770291	30
mrentabilidad_annual_-_mpayroll_delta2	0.00640861888113966	0.00627881197514654	0.0107197549770291	31
chomebanking_transacciones_delta2	0.00558149868158224	0.0108052832010079	0.0107197549770291	32
chomebanking_transacciones_delta1	0.0040961136319844	0.00479234925738221	0.00459418070444104	33
mrentabilidad_annual_lag1	0.00404547468255595	0.0137283053752357	0.0168453292496172	34
Master_mpagominimo	0.00398746021961602	0.0109394493461446	0.00612557427258806	35
Visa_mpagominimo	0.00379467266865282	0.0219018051073125	0.0168453292496172	36
Visa_fechaalta_lag2	0.00376148938400596	0.00165580657168685	0.00459418070444104	37
mrentabilidad_annual	0.00375824580202748	0.00539936925550061	0.00765696784073507	38
Visa_mpagominimo_-_mpayroll_sobre_edad	0.00371761854888561	0.0323094983904153	0.0306278713629403	39
ctarjeta_visa_transacciones_lag1	0.00359094222985508	0.00152573085780434	0.00306278713629403	40
mpasivos_margen_delta1	0.00305261533403543	0.00467127249225886	0.00612557427258806	41
mcomisiones_lag2	0.00300623278011783	0.00460500750594135	0.00765696784073507	42
ctrx_quarter/cliente_antiguedad	0.00294162197863953	0.000927709808445104	0.00153139356814701	43
mcuenta_corriente_delta1_-_mpayroll_sobre_edad_lag2	0.00294140142809725	0.00394399381526794	0.00612557427258806	44
canarito56	0.00293960203273303	0.00375010737382042	0.00765696784073507	45
cliente_edad_+_cproductos	0.00282815883216958	0.0104690497519153	0.00612557427258806	46
cliente_edad/cproductos	0.00268116449027823	0.0100174661414553	0.00612557427258806	47
ccallcenter_transacciones_delta2	0.00260002649915804	0.00870443770886765	0.00306278713629403	48
canarito17	0.00244347695116039	0.00194868144948522	0.00306278713629403	49
mcuentas_saldo_lag2_-_mprestamos_personales_lag2	0.00240396083324177	0.00336724300843038	0.00306278713629403	50
Visa_mpagominimo_lag2_-_mtarjeta_visa_consumo	0.00239703390656226	0.00642034089654072	0.00765696784073507	51
mrentabilidad_annual_lag1/cpayroll_trx	0.00237287420072518	0.00893104760034851	0.00765696784073507	52
mrentabilidad_-_Master_mpagominimo_delta2	0.00233748239723671	0.00361430505618207	0.00765696784073507	53
mpayroll_sobre_edad_delta1_-_mtarjeta_visa_consumo_delta2	0.00229252372914893	0.00492815157502055	0.00765696784073507	54
mtarjeta_visa_consumo_delta2	0.00228970779582333	0.00877642929894099	0.00612557427258806	55
canarito62	0.00224125279914158	0.0029933775917995	0.00612557427258806	56
canarito5	0.00220209072346446	0.00169425662547602	0.00306278713629403	57
mrentabilidad_annual_lag2/ccomisiones_mantenimiento	0.00216709211998259	0.00804751444944841	0.00612557427258806	58
Visa_fechaalta	0.00197661218485682	0.00432358583565465	0.00459418070444104	59
ccomisiones_mantenimiento_lag2	0.00194479816400725	0.00260069619139946	0.00306278713629403	60
cliente_edad_-_ctrx_quarter	0.00188316340731438	0.00495678459379972	0.00612557427258806	61
ctarjeta_visa_transacciones_lag2	0.0018528531260938	0.00153472980656351	0.00306278713629403	62
canarito92	0.00185114443481575	0.00128275924130681	0.00306278713629403	63
Master_status	0.00182086591765515	0.000707644606970913	0.00153139356814701	64
mrentabilidad_lag2	0.00173025228913883	0.00105860360857845	0.00306278713629403	65
canarito20	0.00168167265682186	0.00105533126357512	0.00306278713629403	66
cliente_edad/ccomisiones_mantenimiento	0.00167851855902043	0.00460582559219219	0.00306278713629403	67
canarito67	0.00154626399052656	0.00362575826369374	0.00612557427258806	68
canarito41	0.00147450680733466	0.00119604209871847	0.00306278713629403	69
Visa_mpagominimo_delta2	0.00138119821684787	0.00319462680950453	0.00459418070444104	70
mpasivos_margen_lag1	0.0013693587928418	0.000427859109185881	0.00153139356814701	71
mprestamos_personales_lag1	0.00136433829703804	0.00150691487403517	0.00153139356814701	72
canarito50	0.00136069772395109	0.00831584673972177	0.0153139356814701	73
canarito18	0.00135486180672696	0.000521939028031725	0.00153139356814701	74
cdescubierto_preacordado	0.001320395385485	0.00264160050394113	0.00153139356814701	75
canarito6	0.00131777118631251	0.00372474670004459	0.00612557427258806	76
Master_mpagominimo_-_mtarjeta_visa_consumo	0.00130503702679283	0.0112928626065046	0.0153139356814701	77
chomebanking_transacciones_lag1	0.00129465672362997	0.00170570983298769	0.00459418070444104	78
cproductos_delta1	0.00128456019166873	0.00435221885443382	0.00153139356814701	79
mactivos_margen	0.00126667766515567	0.000582477410593399	0.00153139356814701	80
cliente_antiguedad_-_ctrx_quarter	0.00126044108460186	0.00540264160050394	0.00459418070444104	81
canarito29	0.0012423325746062	0.00101197269228095	0.00306278713629403	82
canarito94	0.00121223696643079	0.000453219782961718	0.00153139356814701	83
mpayroll_lag1_-_mtarjeta_visa_consumo_lag2	0.0011918768326311	0.0141029888781174	0.0199081163859112	84
Master_fechaalta	0.00116512509984829	0.00250907053130612	0.00153139356814701	85
ctrx_quarter_delta1	0.00108349141840817	0.00119849635747097	0.00153139356814701	86
canarito38	0.00107867022956721	0.00324943858831037	0.00306278713629403	87
mpayroll_sobre_edad_delta2_-_mtarjeta_visa_consumo_lag1	0.0010706216510635	0.00732350811746083	0.00765696784073507	88
mcuentas_saldo_delta2_-_mtarjeta_master_consumo_delta1	0.00107059356527128	0.00101197269228095	0.00306278713629403	89
canarito69	0.00106393417047673	0.00100133757102011	0.00306278713629403	90
canarito26	0.00104462649646297	0.0017498864905327	0.00306278713629403	91
mprestamos_personales_lag1_-_mcuentas_saldo_lag1	0.00102678875256998	0.00171798112675019	0.00153139356814701	92
canarito98	0.000955485182560816	0.00773991401913504	0.00765696784073507	93
Visa_mpagominimo_delta1	0.000954095233850982	0.000546481615556728	0.00153139356814701	94
cliente_antiguedad/ctrx_quarter	0.000950535955595993	0.00270950166276031	0.00153139356814701	95
mtarjeta_master_consumo_lag1_-_mpasivos_margen	0.000938027710336601	0.000683920105696744	0.00153139356814701	96
chomebanking_transacciones	0.000883748716948011	0.000948980050966773	0.00153139356814701	97
canarito23	0.000874328720787996	0.00103978762480928	0.00153139356814701	98
mactivos_margen_lag1	0.000847583270797362	0.00129175819006598	0.00306278713629403	99
Visa_mpagominimo_lag1_-_mcuenta_corriente_delta2	0.000834113662001424	0.00109132705861179	0.00306278713629403	100
canarito84	0.0008220747859234	0.00100706417477595	0.00153139356814701	101
canarito89	0.00080614336195476	0.000627472154389237	0.00153139356814701	102
mpayroll_-_mrentabilidad_annual_lag2	0.000771251832801065	0.00136456786639015	0.00306278713629403	103
canarito21	0.000750790906326956	0.00264405476269363	0.00306278713629403	104
Visa_mpagominimo_lag2	0.000748966585461802	0.000943253447210939	0.00153139356814701	105
mactivos_margen/cliente_edad	0.000748178748846077	0.00184069406437521	0.00153139356814701	106
cproductos_-_ctrx_quarter	0.000735962803212282	0.00326580031332703	0.00459418070444104	107
canarito11	0.000715995571735369	0.000458128300466718	0.00153139356814701	108
cliente_edad_lag2	0.000701819796945714	0.00340160263096538	0.00306278713629403	109
cliente_antiguedad/ccomisiones_mantenimiento	0.000684060013685861	0.00361512314243291	0.00459418070444104	110
ctrx_quarter_lag1	0.000670190134545669	0.00336478874967788	0.00459418070444104	111
canarito57	0.000668086917515804	0.000864717167130931	0.00153139356814701	112
canarito60	0.000658991212456694	0.00161735651789768	0.00153139356814701	113
cproductos/ccomisiones_mantenimiento	0.000644445435938658	0.00111505155988596	0.00306278713629403	114
