Feature	Gain	Cover	Frequency
ctrx_quarter_+_cpayroll_trx	0.0389336164096719	0.00244536935799565	0.00166233766233766
ctrx_quarter	0.0276240717268457	0.00207553836873378	0.00228571428571429
mcuentas_saldo	0.0267293950639077	0.0227270103808189	0.0141922077922078
ctrx_quarter_+_kmes	0.0246889482208355	0.00439124011812453	0.00334545454545455
mcaja_ahorro	0.0174875902256081	0.00613825445582424	0.00976623376623377
Master_fechaalta	0.0172726353341977	0.0119927432511262	0.0215896103896104
ccomisiones_mantenimiento_-_ctrx_quarter	0.016252698835258	0.00267355274932927	0.00324155844155844
cpayroll_trx_-_ccomisiones_mantenimiento	0.0161035560872453	0.00938072663781455	0.000976623376623377
ctrx_quarter_+_ctrx_quarter	0.0156052562351586	0.000909640220014647	0.000851948051948052
ccomisiones_mantenimiento/ctrx_quarter	0.0154204953882974	0.0119617014144295	0.00766753246753247
numero_de_cliente	0.0147470320055596	0.0167602435070517	0.0224415584415584
mprestamos_personales	0.0144796449007774	0.0261312870828619	0.00544415584415584
Visa_mpagominimo	0.0138314880759949	0.0129093730025072	0.0128311688311688
mtarjeta_visa_consumo	0.0137990425589703	0.0179134848717149	0.00721038961038961
ctarjeta_visa_transacciones	0.013698620787573	0.00911669560519447	0.00615064935064935
foto_mes	0.0129826691757597	0.0135557280289368	0.00935064935064935
cliente_edad/cproductos	0.0129299715400476	0.0185797688135026	0.017974025974026
mrentabilidad_annual_lag1	0.0119591400371798	0.0102035091252924	0.0144
mrentabilidad_annual_lag2	0.0116978020046418	0.0107154260635193	0.0114181818181818
ctrx_quarter_-_cproductos	0.0114435145481608	0.00351658047141154	0.00316883116883117
cproductos_-_ctrx_quarter	0.0113532831396226	0.00563229058158561	0.00418701298701299
mcuentas_saldo_lag1	0.0113115625382434	0.00994843458381905	0.0138805194805195
mrentabilidad_annual_delta2	0.011104561213608	0.00935310249409135	0.0149922077922078
Master_fechaalta_lag1	0.0110456815219497	0.00975959038809216	0.0151168831168831
mactivos_margen_lag1	0.0110054040370686	0.0171408919722647	0.0139948051948052
ctrx_quarter_delta2	0.0109950663251034	0.00871221320732887	0.0142025974025974
mcaja_ahorro/ccomisiones_mantenimiento	0.0105771492185805	0.00649323208880202	0.00886233766233766
cliente_edad/ccomisiones_mantenimiento	0.0104630276252602	0.0136450496796637	0.0138701298701299
cliente_antiguedad/kmes	0.0101642562603195	0.00906928545176253	0.0132051948051948
Visa_fechaalta	0.00991470809287774	0.00937354763603668	0.0141298701298701
mrentabilidad_annual/ctrx_quarter	0.00984222011807483	0.0081232460388822	0.0145558441558442
mrentabilidad_annual	0.00973490479927178	0.0132148354336677	0.0128623376623377
cliente_edad_lag2	0.00941236982467286	0.00979741060904405	0.0113350649350649
Visa_fechaalta_lag2	0.00920507494243383	0.00861746595897113	0.011574025974026
cproductos/kmes	0.00919541810984986	0.00968061815717272	0.0133818181818182
cliente_edad/ctrx_quarter	0.00908776409108973	0.00739417914942831	0.00864415584415585
mactivos_margen	0.00891486258142197	0.0129692400326541	0.0115428571428571
mcomisiones_lag2	0.0089036802783386	0.00554015417127099	0.00955844155844156
mactivos_margen/cliente_edad	0.00873459439822169	0.0112360193014793	0.0101818181818182
